Age,Gender,Years of Experience,Salary
35,4,7,85000
42,2,18,140000
31,4,4,50000
38,2,10,80000
46,4,20,170000
29,2,2,40000
37,4,9,105000
44,2,15,145000
27,4,2,40000
36,2,8,85000
43,4,14,130000
33,2,6,95000
34,4,9,100000
50,2,22,180000
28,4,1.5,35000
39,2,12,95000
47,4,19,170000
30,2,3,45000
34,4,7,95000
40,2,13,120000
28,4,2,40000
41,2,11,90000
45,4,17,155000
32,2,5,55000
35,4,9,110000
49,2,21,180000
30,4,3,45000
44,4,16,130000
27,2,1.5,45000
36,4,7,90000
41,2,17,160000
31,4,4,50000
39,2,10,120000
47,4,20,170000
30,2,2,40000
38,4,9,110000
45,2,15,150000
28,4,2,40000
35,2,8,85000
44,4,14,130000
34,2,6,100000
35,4,9,95000
50,2,22,180000
29,4,1.5,35000
40,2,12,100000
48,4,19,170000
31,2,3,45000
33,4,7,100000
42,2,13,140000
28,4,2,40000
40,2,11,105000
46,4,18,160000
33,2,5,70000
37,4,9,120000
51,2,21,190000
30,4,3,45000
43,4,15,120000
27,2,1.5,50000
35,4,8,85000
42,2,13,140000
32,4,3,45000
37,2,9,100000
45,4,16,140000
33,2,5,70000
39,4,10,120000
44,2,18,160000
29,4,1.5,40000
38,2,10,120000
46,4,19,150000
34,2,6,70000
36,4,8,95000
49,2,21,180000
31,4,3,50000
41,2,11,95000
47,4,20,170000
30,2,2,40000
38,4,9,110000
45,2,15,150000
28,4,2,40000
35,2,8,85000
44,4,14,130000
34,2,6,100000
35,4,9,95000
50,2,22,180000
29,4,1.5,350
32,4,7,115000
37,2,10,120000
46,4,18,160000
31,2,3,50000
42,4,12,110000
29,2,1.5,40000
36,4,8,95000
44,2,15,140000
33,4,4,60000
39,2,9,110000
45,4,16,150000
32,2,4,60000
37,4,8,90000
47,2,20,180000
30,4,2,40000
38,2,9,120000
46,4,17,160000
34,2,5,70000
36,4,8,95000
49,2,21,180000
31,4,3,50000
41,2,11,95000
47,4,19,170000
29,2,1.5,35000
35,4,9,100000
44,2,15,150000
33,4,4,60000
35,2,8,85000
44,4,13,130000
32,4,4,65000
38,2,10,110000
49,4,21,180000
29,2,2,40000
35,4,7,90000
45,2,14,140000
33,4,4,60000
40,2,12,130000
44,4,16,160000
30,2,2,40000
37,4,9,100000
48,2,20,180000
31,4,3,55000
38,2,9,120000
45,4,16,150000
33,2,5,70000
36,4,8,95000
49,2,21,180000
31,4,3,50000
42,2,12,120000
47,4,19,170000
29,2,1.5,35000
35,4,9,100000
44,2,15,150000
33,4,4,60000
35,2,8,85000
44,4,13,130000
34,2,6,80000
36,4,8,95000
30,2,2,40000
37,4,10,120000
45,2,16,160000
32,4,4,65000
39,2,12,130000
47,4,20,180000
29,2,2,40000
36,4,9,100000
43,2,15,150000
32,4,3,55000
38,2,10,110000
48,4,21,180000
31,2,3,50000
40,4,12,130000
45,2,16,160000
33,4,4,60000
36,2,8,95000
47,4,19,170000
29,2,2,40000
34,4,7,90000
44,2,15,150000
33,4,5,70000
35,2,8,90000
43,4,18,170000
31,2,3,50000
41,4,14,150000
44,2,16,160000
33,4,4,60000
35,2,8,85000
45,4,19,180000
28,2,1,35000
36,4,8,110000
44,2,16,160000
31,4,3,55000
38,2,10,110000
48,4,21,180000
31,2,3,50000
40,4,12,130000
45,2,16,160000
33,4,4,60000
36,2,8,95000
47,4,19,170000
29,2,2,40000
34,4,7,90000
44,2,15,150000
33,4,5,70000
35,2,8,90000
43,4,18,170000
31,2,3,50000
41,4,14,150000
44,2,16,160000
33,4,4,60000
35,2,8,85000
43,4,19,170000
29,2,2,40000
34,4,7,90000
44,2,15,150000
31,4,6,160000
28,2,3,125000
26,4,2,120000
27,2,2,110000
30,4,5,180000
29,2,4,140000
32,4,7,170000
25,2,1,100000
33,4,8,190000
31,2,6,155000
28,4,3,130000
30,2,5,145000
27,4,2,115000
29,2,4,140000
34,4,9,185000
25,2,1,100000
33,4,8,190000
31,2,6,155000
28,4,3,130000
30,2,5,145000
28,4,3,125000
26,2,2,120000
27,4,2,110000
30,2,5,180000
29,4,4,140000
32,4,7,170000
25,2,1,100000
33,4,8,190000
31,2,6,155000
28,4,3,130000
30,2,5,145000
27,4,2,115000
29,2,4,140000
34,4,9,185000
25,2,1,100000
33,4,8,190000
31,2,6,155000
28,4,3,130000
30,2,5,145000
28,4,3,125000
26,2,2,120000
27,4,2,110000
30,2,5,180000
29,4,4,140000
32,4,7,170000
25,2,1,100000
33,4,8,190000
31,2,6,155000
28,4,3,130000
30,2,5,145000
27,4,2,115000
29,2,4,140000
34,4,9,185000
25,2,1,100000
33,4,8,190000
31,2,6,155000
28,4,3,130000
30,2,5,145000
28,4,3,125000
26,2,2,120000
27,4,2,110000
30,2,5,180000
29,4,4,140000
32,4,7,170000
25,2,1,100000
33,4,8,190000
31,2,6,155000
28,4,3,130000
30,2,5,145000
27,4,2,115000
29,2,4,140000
34,4,9,185000
25,2,1,100000
33,4,8,190000
31,2,6,155000
28,4,3,130000
30,2,5,145000
27,4,2,115000
29,2,4,140000
34,4,9,185000
25,2,1,100000
33,4,8,190000
31,2,6,155000
28,4,3,130000
30,2,5,145000
28,4,3,125000
26,2,2,120000
27,4,2,110000
30,2,5,180000
29,4,4,140000
32,4,7,170000
25,2,1,100000
33,4,8,190000
31,2,6,155000
28,4,3,130000
30,2,5,145000
27,4,2,115000
29,2,4,140000
34,4,9,185000
25,2,1,100000
33,4,8,190000
31,2,6,155000
28,4,3,130000
30,2,5,145000
27,4,2,115000
29,2,4,140000
34,4,9,185000
25,2,1,100000
33,4,8,190000
31,2,6,155000
28,4,3,130000
30,2,5,145000
27,4,2,115000
29,2,4,140000
34,4,9,185000
25,2,1,100000
33,4,8,190000
31,2,6,155000
28,4,3,130000
30,2,5,145000
27,4,2,115000
29,2,4,140000
34,4,9,185000
25,2,1,100000
33,4,8,190000
31,2,6,155000
28,4,3,130000
30,2,5,145000
27,4,2,115000
29,2,4,140000
34,4,9,185000
26,4,3,130000
29,2,6,180000
32,4,8,190000
27,2,4,150000
24,4,1,90000
31,2,9,195000
28,4,5,160000
33,2,11,198000
25,4,2,110000
30,2,7,185000
27,4,4,140000
34,2,12,196000
23,4,1,95000
32,2,10,193000
29,4,6,175000
30,2,5,160000
26,4,3,130000
31,2,6,180000
28,4,5,160000
33,2,11,198000
24,4,1,90000
30,2,7,185000
27,4,4,140000
34,2,12,196000
25,4,2,110000
29,2,6,180000
32,4,8,190000
27,2,4,150000
31,4,9,195000
28,2,5,160000
33,4,11,198000
26,2,3,130000
30,4,7,185000
27,2,4,140000
34,4,12,196000
25,2,2,110000
32,4,8,190000
29,2,6,180000
30,4,5,160000
33,2,11,198000
24,4,1,90000
31,2,9,195000
28,4,5,160000
27,2,4,150000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
25,4,2,110000
30,2,7,185000
27,4,4,140000
34,2,12,196000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,4,2,125000
28,2,6,175000
30,4,8,190000
27,2,4,150000
24,4,1,95000
31,4,9,195000
28,4,5,160000
33,2,11,198000
26,4,3,130000
30,2,7,185000
27,4,4,140000
34,2,12,196000
23,4,1,90000
32,2,10,193000
29,4,6,170000
30,2,5,160000
26,4,3,135000
31,2,6,180000
28,4,5,160000
33,2,11,198000
24,4,1,90000
30,2,7,185000
27,4,4,140000
34,2,12,196000
25,4,2,115000
29,2,6,180000
32,4,8,190000
27,2,4,150000
31,4,9,195000
28,2,5,160000
33,4,11,198000
26,2,3,130000
30,4,7,185000
27,2,4,140000
34,4,12,196000
25,2,2,110000
32,4,8,190000
29,2,6,180000
30,4,5,160000
33,2,11,198000
24,4,1,90000
31,2,9,195000
28,4,5,160000
27,2,4,150000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
25,4,2,110000
30,2,7,185000
27,4,4,140000
34,2,12,196000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
23,4,1,90000
27,2,4,150000
32,4,8,190000
24,2,3,125000
25,4,2,110000
31,4,7,180000
28,4,5,160000
33,2,10,195000
26,4,3,130000
30,2,6,170000
27,4,4,140000
34,2,11,196000
23,4,1,92000
32,2,9,195000
29,4,6,170000
30,2,5,160000
26,4,3,135000
31,2,6,180000
28,4,5,165000
33,2,11,198000
24,4,1,95000
30,2,7,185000
27,4,4,140000
34,2,12,196000
25,4,2,115000
29,2,6,180000
32,4,8,190000
27,2,4,150000
31,4,9,195000
28,2,5,160000
33,4,11,198000
26,2,3,130000
30,4,7,185000
27,2,4,140000
34,4,12,196000
25,2,2,110000
32,4,8,190000
29,2,6,180000
30,4,5,160000
33,2,11,198000
24,4,1,90000
31,2,9,195000
28,4,5,160000
27,2,4,150000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
25,4,2,110000
30,2,7,185000
27,4,4,140000
34,2,12,196000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
25,4,3,135000
32,4,8,190000
29,2,6,180000
30,4,5,160000
24,4,1,95000
33,2,11,196000
27,4,4,140000
26,4,3,130000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,2,3,130000
30,4,7,185000
27,2,4,150000
24,4,1,90000
33,4,11,198000
25,4,2,115000
28,4,5,165000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
27,4,4,140000
31,2,6,180000
30,4,5,160000
24,4,1,92000
28,2,5,160000
26,4,3,130000
32,4,8,190000
33,2,11,198000
25,4,2,110000
30,2,7,185000
27,4,4,140000
34,2,12,196000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
31,4,9,195000
28,2,5,160000
26,4,3,130000
29,2,6,180000
32,4,8,190000
33,2,11,198000
24,4,1,90000
27,4,4,140000
25,2,2,110000
30,2,7,185000
32,4,5,135000
27,2,3,180000
40,4,12,195000
35,2,8,165000
43,4,15,198000
29,2,4,150000
36,4,9,162000
31,4,6,175000
42,2,13,197000
33,4,7,142000
29,2,4,182000
41,4,11,185000
35,2,8,170000
27,4,4,160000
32,4,8,180000
29,2,6,150000
30,4,5,140000
24,4,2,100000
33,2,11,190000
27,4,4,160000
26,4,3,120000
30,2,7,170000
31,4,9,190000
28,2,5,150000
26,2,3,120000
30,4,7,170000
27,2,4,130000
24,4,2,95000
33,4,11,195000
25,4,2,100000
28,4,5,150000
26,4,3,120000
29,2,6,150000
32,4,8,180000
33,2,11,195000
27,4,4,160000
31,2,6,170000
30,4,5,140000
24,4,2,95000
28,2,5,150000
26,4,3,120000
32,4,8,180000
33,2,11,195000
25,4,2,100000
30,2,7,170000
27,4,4,160000
34,2,12,190000
31,4,9,190000
28,2,5,150000
26,4,3,120000
29,2,6,150000
32,4,8,180000
33,2,11,195000
24,4,2,95000
27,4,4,160000
25,2,2,100000
30,2,7,170000
31,4,9,190000
28,2,5,150000
26,4,3,120000
29,2,6,150000
32,4,8,180000
33,2,11,195000
24,4,2,95000
27,4,4,160000
25,2,2,100000
30,2,7,170000
31,4,9,190000
28,2,5,150000
26,4,3,120000
29,2,6,150000
32,4,8,180000
33,2,11,195000
24,4,2,95000
27,4,4,160000
25,2,2,100000
30,2,7,170000
31,4,9,190000
28,2,5,150000
26,4,3,120000
29,2,6,150000
32,4,8,180000
33,2,11,195000
24,4,2,95000
27,4,4,160000
25,2,2,100000
30,2,7,170000
31,4,9,190000
28,2,5,150000
26,4,3,120000
29,2,6,150000
32,4,8,180000
33,2,11,195000
24,4,2,95000
27,4,4,160000
25,2,2,100000
30,2,7,170000
31,4,9,190000
28,2,5,150000
26,4,3,120000
29,2,6,150000
32,4,8,180000
33,2,11,195000
24,4,2,95000
27,4,4,160000
25,2,2,100000
30,2,7,170000
31,4,9,190000
28,2,5,150000
26,4,3,120000
29,2,6,150000
32,4,8,180000
33,2,11,195000
24,4,2,95000
27,4,4,160000
25,2,2,100000
30,2,7,170000
31,4,9,190000
28,2,5,150000
26,4,3,120000
29,2,6,150000
32,4,8,180000
33,2,11,195000
24,4,2,95000
27,4,4,160000
25,2,2,100000
30,2,7,170000
31,4,9,190000
28,2,5,150000
26,4,3,120000
29,2,6,150000
32,4,8,180000
33,2,11,195000
24,4,2,95000
27,4,4,160000
25,2,2,100000
30,2,7,170000
31,4,9,190000
28,2,5,150000
26,4,3,120000
29,2,6,150000
32,4,8,180000
33,2,11,195000
24,4,2,95000
27,4,4,160000
25,2,2,100000
30,2,7,170000
29,4,7,180000
27,2,5,120000
33,4,10,195000
28,4,4,160000
26,2,3,100000
31,4,8,190000
30,4,6,170000
32,2,9,185000
29,4,7,130000
35,2,12,190000
27,4,5,150000
28,2,6,150000
37,4,14,195000
26,4,3,110000
30,2,8,180000
31,4,9,185000
29,2,7,130000
32,4,10,190000
28,2,6,155000
34,4,12,195000
25,2,2,90000
30,4,8,185000
29,2,6,120000
31,4,9,180000
26,2,3,100000
33,4,10,195000
28,4,4,160000
27,2,5,125000
30,4,6,170000
32,2,9,185000
29,4,7,130000
35,2,12,190000
27,4,5,150000
28,2,6,150000
37,4,14,195000
26,4,3,110000
30,2,8,180000
31,4,9,185000
29,2,7,130000
32,4,10,190000
28,2,6,155000
34,4,12,195000
25,2,2,90000
30,4,8,185000
29,2,6,120000
31,4,9,180000
26,2,3,100000
33,4,10,195000
28,4,4,160000
27,2,5,125000
30,4,6,170000
32,2,9,185000
29,4,7,130000
35,2,12,190000
27,4,5,150000
28,2,6,150000
37,4,14,195000
26,4,3,110000
30,2,8,180000
31,4,9,185000
29,2,7,130000
32,4,10,190000
28,2,6,155000
34,4,12,195000
25,2,2,90000
30,4,8,185000
29,2,6,120000
31,4,9,180000
26,2,3,100000
33,4,10,195000
28,4,4,160000
27,2,5,125000
30,4,6,170000
32,2,9,185000
29,4,7,130000
35,2,12,190000
27,4,5,150000
28,2,6,150000
37,4,14,195000
26,4,3,110000
30,2,8,180000
31,4,9,185000
29,2,7,130000
32,4,10,190000
28,2,6,155000
34,4,12,195000
25,2,2,90000
30,4,8,185000
29,2,6,120000
31,4,9,180000
26,2,3,100000
33,4,10,195000
28,4,4,160000
27,2,5,125000
30,4,6,170000
32,2,9,185000
29,4,7,130000
35,2,12,190000
27,4,5,150000
28,2,6,150000
37,4,14,195000
26,4,3,110000
30,2,8,180000
31,4,9,185000
29,2,7,130000
32,4,10,190000
28,2,6,155000
34,4,12,195000
25,2,2,90000
30,4,8,185000
28,4,7,175000
44,4,18,190000
33,2,5,110000
50,4,16,195000
27,2,3,100000
25,4,1,60000
35,4,8,155000
47,2,12,175000
46,2,13,180000
32,4,4,95000
61,4,20,200000
41,4,11,165000
37,4,9,145000
53,4,19,195000
30,2,2,75000
26,2,3,90000
37,2,9,155000
32,4,5,115000
44,2,12,170000
50,2,16,190000
27,4,4,115000
42,4,14,180000
57,4,18,195000
35,4,7,140000
62,4,19,200000
26,2,2,70000
42,2,11,170000
41,2,14,185000
36,2,8,140000
49,4,15,185000
49,4,15,185000
47,4,15,180000
47,4,14,175000
26,4,2,70000
24,2,1,60000
62,4,20,200000
42,4,14,170000
41,2,11,165000
23,4,1,55000
55,4,17,190000
26,2,3,90000
33,2,5,105000
31,4,6,130000
50,2,16,185000
24,2,1,60000
56,4,17,195000
24,4,1,60000
37,4,8,150000
43,2,13,180000
44,2,12,170000
34,4,6,125000
45,4,15,185000
29,4,3,90000
29,4,3,80000
29,2,3,85000
48,4,16,190000
43,2,11,160000
62,4,19,200000
54,4,17,195000
60,4,18,195000
54,2,14,190000
27,2,3,95000
23,4,1,55000
45,4,13,185000
32,2,5,120000
57,4,16,195000
47,4,14,175000
25,2,2,75000
58,4,17,200000
41,2,12,160000
41,4,12,175000
26,4,2,70000
47,4,15,180000
24,2,1,60000
48,4,16,190000
32,4,5,120000
61,4,20,200000
45,4,14,185000
50,2,16,190000
53,4,18,195000
47,2,14,170000
23,4,1,55000
33,4,6,130000
42,4,14,180000
45,4,14,185000
23,4,1,55000
37,4,9,145000
44,2,12,170000
54,4,17,195000
38,2,10,155000
34,4,6,125000
46,2,14,180000
30,4,4,95000
44,2,11,170000
27,2,3,100000
42,4,14,175000
27,4,3,80000
54,4,18,195000
38,4,10,155000
31,4,6,125000
28,2,4,110000
30,2,6,130000
54,4,16,190000
62,4,20,200000
62,4,19,200000
37,4,9,150000
31,4,7,140000
58,2,17,195000
56,4,17,195000
23,2,1,55000
49,4,15,185000
32,2,5,120000
52,2,16,190000
32,2,6,130000
50,2,16,190000
32,4,6,130000
34,4,7,140000
28,4,2,70000
44,4,11,170000
55,4,17,190000
27,4,3,80000
46,4,14,180000
27,2,2,70000
45,4,14,185000
23,2,1,55000
36,2,8,140000
47,2,14,170000
33,4,6,130000
43,4,13,180000
30,4,4,95000
28,2,2,70000
43,4,12,165000
43,4,13,185000
36,4,7,140000
24,4,1,60000
28,2,3,80000
37,4,9,150000
41,2,14,185000
26,4,2,70000
28,2,3,90000
43,4,12,170000
42,4,14,170000
48,4,16,190000
27,2,2,70000
49,4,15,185000
44,4,12,170000
27,2,3,100000
37,4,10,155000
44,2,12,170000
56,4,18,195000
49,4,15,185000
27,4,2,70000
48,4,16,190000
31,4,7,140000
25,4,1,60000
50,4,16,190000
46,4,14,180000
33,4,6,130000
42,4,14,170000
41,4,12,165000
43,4,13,185000
32,4,6,130000
24,4,1,60000
44,2,11,170000
36,4,7,140000
28,2,4,110000
28,4,2,70000
37,4,9,145000
54,4,16,190000
58,4,17,200000
27,4,3,80000
30,4,4,95000
27,2,3,100000
54,4,17,195000
49,4,15,185000
38,4,10,155000
54,4,18,195000
31,4,6,125000
56,4,17,195000
31,4,7,140000
42,4,14,170000
44,4,11,170000
37,4,9,150000
24,2,1,60000
27,4,2,70000
42,4,14,170000
24,2,1,55000
28,2,3,80000
43,4,13,185000
31,4,7,140000
43,4,13,180000
27,2,2,70000
49,4,15,185000
48,4,16,190000
30,2,6,130000
28,2,4,110000
46,4,14,180000
37,4,9,145000
42,4,14,170000
43,4,12,165000
31,4,7,140000
56,4,17,195000
37,4,10,155000
54,4,16,190000
58,4,17,195000
33,4,6,130000
29,2,3,85000
52,4,18,200000
36,4,8,140000
26,4,2,65000
47,4,16,190000
32,4,6,120000
29,4,3,80000
28,2,3,90000
54,4,16,190000
57,4,18,200000
51,4,16,190000
28,2,4,110000
46,4,14,180000
27,2,2,65000
45,4,14,185000
23,2,1,55000
36,4,7,130000
48,4,16,190000
33,2,5,120000
38,2,10,155000
51,4,16,190000
27,2,3,100000
37,4,9,150000
44,2,12,170000
27,4,3,80000
38,4,10,155000
54,4,17,195000
49,4,15,185000
27,4,2,70000
48,4,16,190000
31,4,7,140000
25,4,1,55000
50,4,16,190000
46,4,14,180000
33,4,6,130000
42,4,14,170000
41,4,12,165000
43,4,13,185000
32,4,6,130000
24,4,1,60000
44,2,11,170000
36,4,7,140000
28,2,4,110000
28,4,2,70000
37,4,9,145000
54,4,16,190000
58,4,17,200000
27,4,3,80000
30,4,4,95000
27,2,3,100000
54,4,17,195000
49,4,15,185000
38,4,10,155000
54,4,18,195000
31,4,6,125000
56,4,17,195000
31,4,7,140000
42,4,14,170000
44,4,11,170000
37,4,9,150000
24,2,1,60000
27,4,2,70000
42,4,14,170000
24,2,1,55000
28,2,3,80000
43,4,13,185000
31,4,7,140000
43,4,13,180000
27,2,2,70000
49,4,15,185000
48,4,16,190000
31,4,6,125000
40,4,12,160000
36,4,8,140000
54,4,17,195000
27,4,2,70000
28,4,2,70000
44,4,11,170000
43,4,13,185000
54,4,17,195000
32,4,6,130000
38,4,10,155000
49,4,15,185000
27,4,3,80000
54,4,17,195000
31,4,7,135000
24,4,1,55000
48,4,16,190000
27,2,2,70000
43,4,13,185000
44,4,11,170000
37,4,9,150000
56,4,17,195000
28,4,2,70000
54,4,17,195000
31,4,6,125000
49,4,15,185000
27,2,2,70000
38,4,10,155000
27,4,3,80000
43,4,13,185000
48,4,16,190000
44,4,11,170000
54,4,17,195000
37,4,9,150000
28,4,2,70000
27,2,2,70000
49,4,15,185000
31,4,7,135000
27,4,3,80000
54,4,17,195000
38,4,10,155000
44,4,11,170000
43,4,13,185000
27,4,2,70000
48,4,16,190000
31,4,6,125000
54,4,17,195000
37,4,9,150000
28,4,2,70000
27,2,2,70000
34,4,5,95000
43,2,12,170000
27,4,2,75000
56,2,18,210000
32,4,7,135000
40,4,12,160000
23,4,1,55000
46,4,16,190000
41,2,11,165000
28,2,3,80000
34,4,6,120000
49,4,15,185000
43,4,13,185000
54,4,16,190000
36,4,8,140000
33,4,6,130000
27,2,2,70000
44,4,11,170000
31,4,6,125000
38,4,10,155000
