Age,Gender,Education Level,Job Title,Years of Experience,Salary
29,1,1,90,3,45000
40,0,3,170,12,100000
47,1,4,162,22,160000
27,1,1,84,1,35000
39,0,1,2,10,55000
46,1,3,160,19,140000
30,0,1,74,4,50000
36,1,1,64,7,60000
43,0,3,157,14,120000
28,1,1,59,2,40000
41,0,3,149,13,110000
33,1,1,87,5,50000
47,1,1,164,20,135000
25,0,3,75,1.5,40000
34,1,1,125,8,90000
42,0,4,130,16,150000
31,1,1,80,4,60000
38,0,1,124,10,80000
45,1,3,37,19,175000
29,0,1,81,3,45000
36,1,3,126,11,120000
43,0,4,154,18,140000
26,1,1,63,2,35000
37,0,3,146,9,95000
44,1,1,144,14,110000
32,0,1,69,5,50000
33,1,3,153,7,115000
51,0,4,33,23,185000
28,1,1,88,2,40000
39,0,1,165,12,90000
48,1,3,36,21,175000
30,0,1,62,3,45000
35,1,1,147,7,80000
41,0,3,140,13,120000
27,1,1,60,1.5,35000
40,0,1,123,14,110000
46,1,4,163,18,150000
31,0,1,70,4,50000
34,1,3,169,9,105000
50,0,3,30,20,180000
29,1,1,73,2,40000
27,1,1,177,2,140000
43,1,1,160,16,140000
26,0,3,65,1.5,45000
35,1,1,151,7,85000
42,0,4,149,18,140000
31,1,1,57,4,50000
38,0,1,139,10,80000
46,1,3,35,20,170000
29,0,1,84,2,40000
37,1,3,125,9,105000
44,0,4,171,15,145000
27,1,1,79,2,40000
36,0,1,150,8,85000
43,1,1,143,14,130000
33,0,3,133,6,95000
34,1,1,161,9,100000
50,0,4,38,22,180000
28,1,1,76,1.5,35000
39,0,1,122,12,95000
47,1,3,27,19,170000
30,0,1,85,3,45000
34,1,1,156,7,95000
40,0,3,141,13,120000
28,1,1,59,2,40000
41,0,1,147,11,90000
45,1,4,128,17,155000
32,0,1,56,5,55000
35,1,3,168,9,110000
49,0,3,32,21,180000
30,1,1,58,3,45000
44,1,1,164,16,130000
27,0,3,89,1.5,45000
36,1,1,124,7,90000
41,0,4,148,17,160000
31,1,1,71,4,50000
39,0,1,153,10,120000
47,1,3,30,20,170000
30,0,1,73,2,40000
38,1,3,142,9,110000
45,0,4,154,15,150000
28,1,1,60,2,40000
35,0,1,146,8,85000
44,1,1,169,14,130000
34,0,3,132,6,100000
35,1,1,158,9,95000
50,0,4,35,22,180000
29,1,1,61,1.5,35000
40,0,1,165,12,100000
48,1,3,34,19,170000
31,0,1,86,3,45000
33,1,1,155,7,100000
42,0,3,140,13,140000
28,1,1,69,2,40000
40,0,1,149,11,105000
46,1,4,130,18,160000
33,0,1,78,5,70000
37,1,3,167,9,120000
51,0,3,33,21,190000
30,1,1,75,3,45000
43,1,1,160,15,120000
27,0,3,82,1.5,50000
35,1,1,151,8,85000
42,0,4,149,13,140000
32,1,1,84,3,45000
37,0,1,133,9,100000
45,1,3,168,16,140000
33,0,1,76,5,70000
39,1,1,150,10,120000
44,0,4,137,18,160000
29,1,1,59,1.5,40000
38,0,1,156,10,120000
46,1,4,128,19,150000
34,0,1,72,6,70000
36,1,1,153,8,95000
49,0,3,34,21,180000
31,1,1,69,3,50000
41,0,1,158,11,95000
47,1,3,35,20,170000
30,0,1,73,2,40000
38,1,3,142,9,110000
45,0,4,154,15,150000
28,1,1,60,2,40000
35,0,1,146,8,85000
44,1,1,169,14,130000
34,0,3,132,6,100000
35,1,1,158,9,95000
50,0,4,35,22,180000
29,1,1,61,1.5,350
27,1,1,177,2,140000
37,0,1,134,10,120000
46,1,4,130,18,160000
31,0,1,73,3,50000
42,1,1,153,12,110000
29,0,1,84,1.5,40000
36,1,1,150,8,95000
44,0,3,138,15,140000
33,1,1,78,4,60000
39,0,1,147,9,110000
45,1,4,129,16,150000
32,0,1,74,4,60000
37,1,1,133,8,90000
47,0,3,34,20,180000
30,1,1,59,2,40000
38,0,1,160,9,120000
46,1,4,128,17,160000
34,0,1,69,5,70000
36,1,1,156,8,95000
49,0,3,35,21,180000
31,1,1,76,3,50000
41,0,1,158,11,95000
47,1,3,34,19,170000
29,0,1,60,1.5,35000
35,1,1,134,9,100000
44,0,4,154,15,150000
33,1,1,59,4,60000
35,0,1,146,8,85000
44,1,1,169,13,130000
32,1,1,79,4,65000
38,0,1,125,10,110000
49,1,4,35,21,180000
29,0,1,75,2,40000
35,1,1,126,7,90000
45,0,3,137,14,140000
33,1,1,69,4,60000
40,0,1,149,12,130000
44,1,4,130,16,160000
30,0,1,77,2,40000
37,1,1,146,9,100000
48,0,3,31,20,180000
31,1,1,80,3,55000
38,0,1,152,9,120000
45,1,4,129,16,150000
33,0,1,74,5,70000
36,1,1,125,8,95000
49,0,3,34,21,180000
31,1,1,76,3,50000
42,0,1,160,12,120000
47,1,3,34,19,170000
29,0,1,60,1.5,35000
35,1,1,134,9,100000
44,0,4,154,15,150000
33,1,1,59,4,60000
35,0,1,146,8,85000
44,1,1,169,13,130000
34,0,3,132,6,80000
36,1,1,150,8,95000
30,0,1,70,2,40000
37,1,1,126,10,120000
45,0,3,149,16,160000
32,1,1,68,4,65000
39,0,1,160,12,130000
47,1,4,29,20,180000
29,0,1,72,2,40000
36,1,1,153,9,100000
43,0,4,130,15,150000
32,1,1,73,3,55000
38,0,1,125,10,110000
48,1,3,34,21,180000
31,0,1,60,3,50000
40,1,1,133,12,130000
45,0,4,171,16,160000
33,1,1,79,4,60000
36,0,1,149,8,95000
47,1,3,35,19,170000
29,0,1,80,2,40000
34,1,1,152,7,90000
44,0,4,125,15,150000
33,1,1,75,5,70000
35,0,1,134,8,90000
43,1,3,34,18,170000
31,0,1,69,3,50000
41,1,1,156,14,150000
44,0,4,129,16,160000
33,1,1,59,4,60000
35,0,1,146,8,85000
45,1,3,29,19,180000
28,0,1,78,1,35000
36,1,1,126,8,110000
44,0,4,130,16,160000
31,1,1,73,3,55000
38,0,1,125,10,110000
48,1,3,34,21,180000
31,0,1,60,3,50000
40,1,1,133,12,130000
45,0,4,171,16,160000
33,1,1,79,4,60000
36,0,1,149,8,95000
47,1,3,35,19,170000
29,0,1,80,2,40000
34,1,1,152,7,90000
44,0,4,125,15,150000
33,1,1,75,5,70000
35,0,1,134,8,90000
43,1,3,34,18,170000
31,0,1,69,3,50000
41,1,1,156,14,150000
44,0,4,129,16,160000
33,1,1,59,4,60000
35,0,1,146,8,85000
43,1,3,35,19,170000
29,0,1,80,2,40000
34,1,1,152,7,90000
44,0,4,125,15,150000
31,1,3,20,6,160000
28,0,1,177,3,125000
26,1,3,107,2,120000
27,0,1,18,2,110000
30,1,4,20,5,180000
29,0,1,177,4,140000
32,1,1,107,7,170000
25,0,3,18,1,100000
33,1,4,20,8,190000
31,0,1,177,6,155000
28,1,3,107,3,130000
30,0,1,18,5,145000
27,1,4,20,2,115000
29,0,1,177,4,140000
34,1,1,107,9,185000
25,0,3,18,1,100000
33,1,4,20,8,190000
31,0,1,177,6,155000
28,1,3,107,3,130000
30,0,1,18,5,145000
28,1,1,177,3,125000
26,0,3,107,2,120000
27,1,1,18,2,110000
30,0,4,20,5,180000
29,1,1,177,4,140000
32,1,1,107,7,170000
25,0,3,18,1,100000
33,1,4,20,8,190000
31,0,1,177,6,155000
28,1,3,107,3,130000
30,0,1,18,5,145000
27,1,4,20,2,115000
29,0,1,177,4,140000
34,1,1,107,9,185000
25,0,3,18,1,100000
33,1,4,20,8,190000
31,0,1,177,6,155000
28,1,3,107,3,130000
30,0,1,18,5,145000
28,1,1,177,3,125000
26,0,3,107,2,120000
27,1,1,18,2,110000
30,0,4,20,5,180000
29,1,1,177,4,140000
32,1,1,107,7,170000
25,0,3,18,1,100000
33,1,4,20,8,190000
31,0,1,177,6,155000
28,1,3,107,3,130000
30,0,1,18,5,145000
27,1,4,20,2,115000
29,0,1,177,4,140000
34,1,1,107,9,185000
25,0,3,18,1,100000
33,1,4,20,8,190000
31,0,1,177,6,155000
28,1,3,107,3,130000
30,0,1,18,5,145000
28,1,1,177,3,125000
26,0,3,107,2,120000
27,1,1,18,2,110000
30,0,4,20,5,180000
29,1,1,177,4,140000
32,1,1,107,7,170000
25,0,3,18,1,100000
33,1,4,20,8,190000
31,0,1,177,6,155000
28,1,3,107,3,130000
30,0,1,18,5,145000
27,1,4,20,2,115000
29,0,1,177,4,140000
34,1,1,107,9,185000
25,0,3,18,1,100000
33,1,4,20,8,190000
31,0,1,177,6,155000
28,1,3,107,3,130000
30,0,1,18,5,145000
27,1,4,20,2,115000
29,0,1,177,4,140000
34,1,1,107,9,185000
25,0,3,18,1,100000
33,1,4,20,8,190000
31,0,1,177,6,155000
28,1,3,107,3,130000
30,0,1,18,5,145000
28,1,1,177,3,125000
26,0,3,107,2,120000
27,1,1,18,2,110000
30,0,4,20,5,180000
29,1,1,177,4,140000
32,1,1,107,7,170000
25,0,3,18,1,100000
33,1,4,20,8,190000
31,0,1,177,6,155000
28,1,3,107,3,130000
30,0,1,18,5,145000
27,1,4,20,2,115000
29,0,1,177,4,140000
34,1,1,107,9,185000
25,0,3,18,1,100000
33,1,4,20,8,190000
31,0,1,177,6,155000
28,1,3,107,3,130000
30,0,1,18,5,145000
27,1,4,20,2,115000
29,0,1,177,4,140000
34,1,1,107,9,185000
25,0,3,18,1,100000
33,1,4,20,8,190000
31,0,1,177,6,155000
28,1,3,107,3,130000
30,0,1,18,5,145000
27,1,4,20,2,115000
29,0,1,177,4,140000
34,1,1,107,9,185000
25,0,3,18,1,100000
33,1,4,20,8,190000
31,0,1,177,6,155000
28,1,3,107,3,130000
30,0,1,18,5,145000
27,1,4,20,2,115000
29,0,1,177,4,140000
34,1,1,107,9,185000
25,0,3,18,1,100000
33,1,4,20,8,190000
31,0,1,177,6,155000
28,1,3,107,3,130000
30,0,1,18,5,145000
27,1,4,20,2,115000
29,0,1,177,4,140000
34,1,1,107,9,185000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
27,0,1,107,4,150000
24,1,1,18,1,90000
31,0,3,20,9,195000
28,1,1,177,5,160000
33,0,3,107,11,198000
25,1,1,18,2,110000
30,0,4,20,7,185000
27,1,1,177,4,140000
34,0,3,107,12,196000
23,1,1,18,1,95000
32,0,4,20,10,193000
29,1,1,177,6,175000
30,0,1,107,5,160000
26,1,1,18,3,130000
31,0,3,20,6,180000
28,1,1,177,5,160000
33,0,3,107,11,198000
24,1,1,18,1,90000
30,0,4,20,7,185000
27,1,1,177,4,140000
34,0,3,107,12,196000
25,1,1,18,2,110000
29,0,3,20,6,180000
32,1,1,177,8,190000
27,0,1,107,4,150000
31,1,1,18,9,195000
28,0,1,177,5,160000
33,1,3,107,11,198000
26,0,1,18,3,130000
30,1,4,20,7,185000
27,0,1,177,4,140000
34,1,3,107,12,196000
25,0,1,18,2,110000
32,1,1,177,8,190000
29,0,3,20,6,180000
30,1,1,18,5,160000
33,0,3,107,11,198000
24,1,1,18,1,90000
31,0,4,20,9,195000
28,1,1,177,5,160000
27,0,1,107,4,150000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
25,1,1,18,2,110000
30,0,4,20,7,185000
27,1,1,177,4,140000
34,0,3,107,12,196000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,1,1,18,2,125000
28,0,3,20,6,175000
30,1,1,177,8,190000
27,0,1,107,4,150000
24,1,1,18,1,95000
31,1,3,20,9,195000
28,1,1,177,5,160000
33,0,3,107,11,198000
26,1,1,18,3,130000
30,0,4,20,7,185000
27,1,1,177,4,140000
34,0,3,107,12,196000
23,1,1,18,1,90000
32,0,4,20,10,193000
29,1,1,177,6,170000
30,0,1,107,5,160000
26,1,1,18,3,135000
31,0,3,20,6,180000
28,1,1,177,5,160000
33,0,3,107,11,198000
24,1,1,18,1,90000
30,0,4,20,7,185000
27,1,1,177,4,140000
34,0,3,107,12,196000
25,1,1,18,2,115000
29,0,3,20,6,180000
32,1,1,177,8,190000
27,0,1,107,4,150000
31,1,1,18,9,195000
28,0,1,177,5,160000
33,1,3,107,11,198000
26,0,1,18,3,130000
30,1,4,20,7,185000
27,0,1,177,4,140000
34,1,3,107,12,196000
25,0,1,18,2,110000
32,1,1,177,8,190000
29,0,3,20,6,180000
30,1,1,18,5,160000
33,0,3,107,11,198000
24,1,1,18,1,90000
31,0,4,20,9,195000
28,1,1,177,5,160000
27,0,1,107,4,150000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
25,1,1,18,2,110000
30,0,4,20,7,185000
27,1,1,177,4,140000
34,0,3,107,12,196000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
23,1,1,18,1,90000
27,0,3,20,4,150000
32,1,1,177,8,190000
24,0,1,107,3,125000
25,1,1,18,2,110000
31,1,3,20,7,180000
28,1,1,177,5,160000
33,0,3,107,10,195000
26,1,1,18,3,130000
30,0,4,20,6,170000
27,1,1,177,4,140000
34,0,3,107,11,196000
23,1,1,18,1,92000
32,0,4,20,9,195000
29,1,1,177,6,170000
30,0,1,107,5,160000
26,1,1,18,3,135000
31,0,3,20,6,180000
28,1,1,177,5,165000
33,0,3,107,11,198000
24,1,1,18,1,95000
30,0,4,20,7,185000
27,1,1,177,4,140000
34,0,3,107,12,196000
25,1,1,18,2,115000
29,0,3,20,6,180000
32,1,1,177,8,190000
27,0,1,107,4,150000
31,1,1,18,9,195000
28,0,1,177,5,160000
33,1,3,107,11,198000
26,0,1,18,3,130000
30,1,4,20,7,185000
27,0,1,177,4,140000
34,1,3,107,12,196000
25,0,1,18,2,110000
32,1,1,177,8,190000
29,0,3,20,6,180000
30,1,1,18,5,160000
33,0,3,107,11,198000
24,1,1,18,1,90000
31,0,4,20,9,195000
28,1,1,177,5,160000
27,0,1,107,4,150000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
25,1,1,18,2,110000
30,0,4,20,7,185000
27,1,1,177,4,140000
34,0,3,107,12,196000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
25,1,1,18,3,135000
32,1,1,177,8,190000
29,0,3,20,6,180000
30,1,1,18,5,160000
24,1,1,18,1,95000
33,0,3,107,11,196000
27,1,1,177,4,140000
26,1,1,18,3,130000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,0,1,18,3,130000
30,1,4,20,7,185000
27,0,1,107,4,150000
24,1,1,18,1,90000
33,1,3,107,11,198000
25,1,1,18,2,115000
28,1,1,177,5,165000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
27,1,1,177,4,140000
31,0,3,20,6,180000
30,1,1,18,5,160000
24,1,1,18,1,92000
28,0,1,177,5,160000
26,1,1,18,3,130000
32,1,1,177,8,190000
33,0,3,107,11,198000
25,1,1,18,2,110000
30,0,4,20,7,185000
27,1,1,177,4,140000
34,0,3,107,12,196000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
31,1,1,18,9,195000
28,0,1,177,5,160000
26,1,1,18,3,130000
29,0,3,20,6,180000
32,1,1,177,8,190000
33,0,3,107,11,198000
24,1,1,18,1,90000
27,1,1,177,4,140000
25,0,1,18,2,110000
30,0,4,20,7,185000
32,1,1,18,5,135000
27,0,3,20,3,180000
40,1,1,177,12,195000
35,0,1,107,8,165000
43,1,3,20,15,198000
29,0,1,177,4,150000
36,1,1,18,9,162000
31,1,3,20,6,175000
42,0,1,177,13,197000
33,1,1,18,7,142000
29,0,3,20,4,182000
41,1,1,177,11,185000
35,0,1,107,8,170000
27,1,1,177,4,160000
32,1,1,20,8,180000
29,0,3,18,6,150000
30,1,1,18,5,140000
24,1,1,18,2,100000
33,0,3,107,11,190000
27,1,1,177,4,160000
26,1,1,18,3,120000
30,0,4,20,7,170000
31,1,1,18,9,190000
28,0,1,177,5,150000
26,0,1,18,3,120000
30,1,4,20,7,170000
27,0,1,107,4,130000
24,1,1,18,2,95000
33,1,3,107,11,195000
25,1,1,18,2,100000
28,1,1,177,5,150000
26,1,1,18,3,120000
29,0,3,20,6,150000
32,1,1,20,8,180000
33,0,3,107,11,195000
27,1,1,177,4,160000
31,0,3,20,6,170000
30,1,1,18,5,140000
24,1,1,18,2,95000
28,0,1,177,5,150000
26,1,1,18,3,120000
32,1,1,177,8,180000
33,0,3,107,11,195000
25,1,1,18,2,100000
30,0,4,20,7,170000
27,1,1,177,4,160000
34,0,3,107,12,190000
31,1,1,18,9,190000
28,0,1,177,5,150000
26,1,1,18,3,120000
29,0,3,20,6,150000
32,1,1,177,8,180000
33,0,3,107,11,195000
24,1,1,18,2,95000
27,1,1,177,4,160000
25,0,1,18,2,100000
30,0,4,20,7,170000
31,1,1,18,9,190000
28,0,1,177,5,150000
26,1,1,18,3,120000
29,0,3,20,6,150000
32,1,1,177,8,180000
33,0,3,107,11,195000
24,1,1,18,2,95000
27,1,1,177,4,160000
25,0,1,18,2,100000
30,0,4,20,7,170000
31,1,1,18,9,190000
28,0,1,177,5,150000
26,1,1,18,3,120000
29,0,3,20,6,150000
32,1,1,177,8,180000
33,0,3,107,11,195000
24,1,1,18,2,95000
27,1,1,177,4,160000
25,0,1,18,2,100000
30,0,4,20,7,170000
31,1,1,18,9,190000
28,0,1,177,5,150000
26,1,1,18,3,120000
29,0,3,20,6,150000
32,1,1,177,8,180000
33,0,3,107,11,195000
24,1,1,18,2,95000
27,1,1,177,4,160000
25,0,1,18,2,100000
30,0,4,20,7,170000
31,1,1,18,9,190000
28,0,1,177,5,150000
26,1,1,18,3,120000
29,0,3,20,6,150000
32,1,1,177,8,180000
33,0,3,107,11,195000
24,1,1,18,2,95000
27,1,1,177,4,160000
25,0,1,18,2,100000
30,0,4,20,7,170000
31,1,1,18,9,190000
28,0,1,177,5,150000
26,1,1,18,3,120000
29,0,3,20,6,150000
32,1,1,177,8,180000
33,0,3,107,11,195000
24,1,1,18,2,95000
27,1,1,177,4,160000
25,0,1,18,2,100000
30,0,4,20,7,170000
31,1,1,18,9,190000
28,0,1,177,5,150000
26,1,1,18,3,120000
29,0,3,20,6,150000
32,1,1,177,8,180000
33,0,3,107,11,195000
24,1,1,18,2,95000
27,1,1,177,4,160000
25,0,1,18,2,100000
30,0,4,20,7,170000
31,1,1,18,9,190000
28,0,1,177,5,150000
26,1,1,18,3,120000
29,0,3,20,6,150000
32,1,1,177,8,180000
33,0,3,107,11,195000
24,1,1,18,2,95000
27,1,1,177,4,160000
25,0,1,18,2,100000
