Age,Gender,Years of Experience,Salary
34,Male,8,90000
42,Female,16,150000
31,Male,4,60000
38,Female,10,80000
45,Male,19,175000
29,Female,3,45000
36,Male,11,120000
43,Female,18,140000
26,Male,2,35000
37,Female,9,95000
44,Male,14,110000
32,Female,5,50000
33,Male,7,115000
51,Female,23,185000
28,Male,2,40000
39,Female,12,90000
48,Male,21,175000
30,Female,3,45000
35,Male,7,80000
41,Female,13,120000
27,Male,1.5,35000
40,Female,14,110000
46,Male,18,150000
31,Female,4,50000
34,Male,9,105000
50,Female,20,180000
29,Male,2,40000
,,,
43,Male,16,140000
26,Female,1.5,45000
35,Male,7,85000
42,Female,18,140000
31,Male,4,50000
38,Female,10,80000
46,Male,20,170000
29,Female,2,40000
37,Male,9,105000
44,Female,15,145000
27,Male,2,40000
36,Female,8,85000
43,Male,14,130000
33,Female,6,95000
34,Male,9,100000
50,Female,22,180000
28,Male,1.5,35000
39,Female,12,95000
47,Male,19,170000
30,Female,3,45000
34,Male,7,95000
40,Female,13,120000
28,Male,2,40000
41,Female,11,90000
45,Male,17,155000
32,Female,5,55000
35,Male,9,110000
49,Female,21,180000
30,Male,3,45000
44,Male,16,130000
27,Female,1.5,45000
36,Male,7,90000
41,Female,17,160000
31,Male,4,50000
39,Female,10,120000
47,Male,20,170000
30,Female,2,40000
38,Male,9,110000
45,Female,15,150000
28,Male,2,40000
35,Female,8,85000
44,Male,14,130000
34,Female,6,100000
35,Male,9,95000
50,Female,22,180000
29,Male,1.5,35000
40,Female,12,100000
48,Male,19,170000
31,Female,3,45000
33,Male,7,100000
42,Female,13,140000
28,Male,2,40000
40,Female,11,105000
46,Male,18,160000
33,Female,5,70000
37,Male,9,120000
51,Female,21,190000
30,Male,3,45000
43,Male,15,120000
27,Female,1.5,50000
35,Male,8,85000
42,Female,13,140000
32,Male,3,45000
37,Female,9,100000
45,Male,16,140000
33,Female,5,70000
39,Male,10,120000
44,Female,18,160000
29,Male,1.5,40000
38,Female,10,120000
46,Male,19,150000
34,Female,6,70000
36,Male,8,95000
49,Female,21,180000
31,Male,3,50000
41,Female,11,95000
47,Male,20,170000
30,Female,2,40000
38,Male,9,110000
45,Female,15,150000
28,Male,2,40000
35,Female,8,85000
44,Male,14,130000
34,Female,6,100000
35,Male,9,95000
50,Female,22,180000
29,Male,1.5,350
,,,
37,Female,10,120000
46,Male,18,160000
31,Female,3,50000
42,Male,12,110000
29,Female,1.5,40000
36,Male,8,95000
44,Female,15,140000
33,Male,4,60000
39,Female,9,110000
45,Male,16,150000
32,Female,4,60000
37,Male,8,90000
47,Female,20,180000
30,Male,2,40000
38,Female,9,120000
46,Male,17,160000
34,Female,5,70000
36,Male,8,95000
49,Female,21,180000
31,Male,3,50000
41,Female,11,95000
47,Male,19,170000
29,Female,1.5,35000
35,Male,9,100000
44,Female,15,150000
33,Male,4,60000
35,Female,8,85000
44,Male,13,130000
32,Male,4,65000
38,Female,10,110000
49,Male,21,180000
29,Female,2,40000
35,Male,7,90000
45,Female,14,140000
33,Male,4,60000
40,Female,12,130000
44,Male,16,160000
30,Female,2,40000
37,Male,9,100000
48,Female,20,180000
31,Male,3,55000
38,Female,9,120000
45,Male,16,150000
33,Female,5,70000
36,Male,8,95000
49,Female,21,180000
31,Male,3,50000
42,Female,12,120000
47,Male,19,170000
29,Female,1.5,35000
35,Male,9,100000
44,Female,15,150000
33,Male,4,60000
35,Female,8,85000
44,Male,13,130000
34,Female,6,80000
36,Male,8,95000
30,Female,2,40000
37,Male,10,120000
45,Female,16,160000
32,Male,4,65000
39,Female,12,130000
47,Male,20,180000
29,Female,2,40000
36,Male,9,100000
43,Female,15,150000
32,Male,3,55000
38,Female,10,110000
48,Male,21,180000
31,Female,3,50000
40,Male,12,130000
45,Female,16,160000
33,Male,4,60000
36,Female,8,95000
47,Male,19,170000
29,Female,2,40000
34,Male,7,90000
44,Female,15,150000
33,Male,5,70000
35,Female,8,90000
43,Male,18,170000
31,Female,3,50000
41,Male,14,150000
44,Female,16,160000
33,Male,4,60000
35,Female,8,85000
45,Male,19,180000
28,Female,1,35000
36,Male,8,110000
44,Female,16,160000
31,Male,3,55000
38,Female,10,110000
48,Male,21,180000
31,Female,3,50000
40,Male,12,130000
45,Female,16,160000
33,Male,4,60000
36,Female,8,95000
47,Male,19,170000
29,Female,2,40000
34,Male,7,90000
44,Female,15,150000
33,Male,5,70000
35,Female,8,90000
43,Male,18,170000
31,Female,3,50000
41,Male,14,150000
44,Female,16,160000
33,Male,4,60000
35,Female,8,85000
43,Male,19,170000
29,Female,2,40000
34,Male,7,90000
44,Female,15,150000
31,Male,6,160000
28,Female,3,125000
26,Male,2,120000
27,Female,2,110000
30,Male,5,180000
29,Female,4,140000
32,Male,7,170000
25,Female,1,100000
33,Male,8,190000
31,Female,6,155000
28,Male,3,130000
30,Female,5,145000
27,Male,2,115000
29,Female,4,140000
34,Male,9,185000
25,Female,1,100000
33,Male,8,190000
31,Female,6,155000
28,Male,3,130000
30,Female,5,145000
28,Male,3,125000
26,Female,2,120000
27,Male,2,110000
30,Female,5,180000
29,Male,4,140000
32,Male,7,170000
25,Female,1,100000
33,Male,8,190000
31,Female,6,155000
28,Male,3,130000
30,Female,5,145000
27,Male,2,115000
29,Female,4,140000
34,Male,9,185000
25,Female,1,100000
33,Male,8,190000
31,Female,6,155000
28,Male,3,130000
30,Female,5,145000
28,Male,3,125000
26,Female,2,120000
27,Male,2,110000
30,Female,5,180000
29,Male,4,140000
32,Male,7,170000
25,Female,1,100000
33,Male,8,190000
31,Female,6,155000
28,Male,3,130000
30,Female,5,145000
27,Male,2,115000
29,Female,4,140000
34,Male,9,185000
25,Female,1,100000
33,Male,8,190000
31,Female,6,155000
28,Male,3,130000
30,Female,5,145000
28,Male,3,125000
26,Female,2,120000
27,Male,2,110000
30,Female,5,180000
29,Male,4,140000
32,Male,7,170000
25,Female,1,100000
33,Male,8,190000
31,Female,6,155000
28,Male,3,130000
30,Female,5,145000
27,Male,2,115000
29,Female,4,140000
34,Male,9,185000
25,Female,1,100000
33,Male,8,190000
31,Female,6,155000
28,Male,3,130000
30,Female,5,145000
27,Male,2,115000
29,Female,4,140000
34,Male,9,185000
25,Female,1,100000
33,Male,8,190000
31,Female,6,155000
28,Male,3,130000
30,Female,5,145000
28,Male,3,125000
26,Female,2,120000
27,Male,2,110000
30,Female,5,180000
29,Male,4,140000
32,Male,7,170000
25,Female,1,100000
33,Male,8,190000
31,Female,6,155000
28,Male,3,130000
30,Female,5,145000
27,Male,2,115000
29,Female,4,140000
34,Male,9,185000
25,Female,1,100000
33,Male,8,190000
31,Female,6,155000
28,Male,3,130000
30,Female,5,145000
27,Male,2,115000
29,Female,4,140000
34,Male,9,185000
25,Female,1,100000
33,Male,8,190000
31,Female,6,155000
28,Male,3,130000
30,Female,5,145000
27,Male,2,115000
29,Female,4,140000
34,Male,9,185000
25,Female,1,100000
33,Male,8,190000
31,Female,6,155000
28,Male,3,130000
30,Female,5,145000
27,Male,2,115000
29,Female,4,140000
34,Male,9,185000
25,Female,1,100000
33,Male,8,190000
31,Female,6,155000
28,Male,3,130000
30,Female,5,145000
27,Male,2,115000
29,Female,4,140000
34,Male,9,185000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
27,Female,4,150000
24,Male,1,90000
31,Female,9,195000
28,Male,5,160000
33,Female,11,198000
25,Male,2,110000
30,Female,7,185000
27,Male,4,140000
34,Female,12,196000
23,Male,1,95000
32,Female,10,193000
29,Male,6,175000
30,Female,5,160000
26,Male,3,130000
31,Female,6,180000
28,Male,5,160000
33,Female,11,198000
24,Male,1,90000
30,Female,7,185000
27,Male,4,140000
34,Female,12,196000
25,Male,2,110000
29,Female,6,180000
32,Male,8,190000
27,Female,4,150000
31,Male,9,195000
28,Female,5,160000
33,Male,11,198000
26,Female,3,130000
30,Male,7,185000
27,Female,4,140000
34,Male,12,196000
25,Female,2,110000
32,Male,8,190000
29,Female,6,180000
30,Male,5,160000
33,Female,11,198000
24,Male,1,90000
31,Female,9,195000
28,Male,5,160000
27,Female,4,150000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
25,Male,2,110000
30,Female,7,185000
27,Male,4,140000
34,Female,12,196000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Male,2,125000
28,Female,6,175000
30,Male,8,190000
27,Female,4,150000
24,Male,1,95000
31,Male,9,195000
28,Male,5,160000
33,Female,11,198000
26,Male,3,130000
30,Female,7,185000
27,Male,4,140000
34,Female,12,196000
23,Male,1,90000
32,Female,10,193000
29,Male,6,170000
30,Female,5,160000
26,Male,3,135000
31,Female,6,180000
28,Male,5,160000
33,Female,11,198000
24,Male,1,90000
30,Female,7,185000
27,Male,4,140000
34,Female,12,196000
25,Male,2,115000
29,Female,6,180000
32,Male,8,190000
27,Female,4,150000
31,Male,9,195000
28,Female,5,160000
33,Male,11,198000
26,Female,3,130000
30,Male,7,185000
27,Female,4,140000
34,Male,12,196000
25,Female,2,110000
32,Male,8,190000
29,Female,6,180000
30,Male,5,160000
33,Female,11,198000
24,Male,1,90000
31,Female,9,195000
28,Male,5,160000
27,Female,4,150000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
25,Male,2,110000
30,Female,7,185000
27,Male,4,140000
34,Female,12,196000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
23,Male,1,90000
27,Female,4,150000
32,Male,8,190000
24,Female,3,125000
25,Male,2,110000
31,Male,7,180000
28,Male,5,160000
33,Female,10,195000
26,Male,3,130000
30,Female,6,170000
27,Male,4,140000
34,Female,11,196000
23,Male,1,92000
32,Female,9,195000
29,Male,6,170000
30,Female,5,160000
26,Male,3,135000
31,Female,6,180000
28,Male,5,165000
33,Female,11,198000
24,Male,1,95000
30,Female,7,185000
27,Male,4,140000
34,Female,12,196000
25,Male,2,115000
29,Female,6,180000
32,Male,8,190000
27,Female,4,150000
31,Male,9,195000
28,Female,5,160000
33,Male,11,198000
26,Female,3,130000
30,Male,7,185000
27,Female,4,140000
34,Male,12,196000
25,Female,2,110000
32,Male,8,190000
29,Female,6,180000
30,Male,5,160000
33,Female,11,198000
24,Male,1,90000
31,Female,9,195000
28,Male,5,160000
27,Female,4,150000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
25,Male,2,110000
30,Female,7,185000
27,Male,4,140000
34,Female,12,196000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
25,Male,3,135000
32,Male,8,190000
29,Female,6,180000
30,Male,5,160000
24,Male,1,95000
33,Female,11,196000
27,Male,4,140000
26,Male,3,130000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Female,3,130000
30,Male,7,185000
27,Female,4,150000
24,Male,1,90000
33,Male,11,198000
25,Male,2,115000
28,Male,5,165000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
27,Male,4,140000
31,Female,6,180000
30,Male,5,160000
24,Male,1,92000
28,Female,5,160000
26,Male,3,130000
32,Male,8,190000
33,Female,11,198000
25,Male,2,110000
30,Female,7,185000
27,Male,4,140000
34,Female,12,196000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
31,Male,9,195000
28,Female,5,160000
26,Male,3,130000
29,Female,6,180000
32,Male,8,190000
33,Female,11,198000
24,Male,1,90000
27,Male,4,140000
25,Female,2,110000
30,Female,7,185000
32,Male,5,135000
27,Female,3,180000
40,Male,12,195000
35,Female,8,165000
43,Male,15,198000
29,Female,4,150000
36,Male,9,162000
31,Male,6,175000
42,Female,13,197000
33,Male,7,142000
29,Female,4,182000
41,Male,11,185000
35,Female,8,170000
27,Male,4,160000
32,Male,8,180000
29,Female,6,150000
30,Male,5,140000
24,Male,2,100000
33,Female,11,190000
27,Male,4,160000
26,Male,3,120000
30,Female,7,170000
31,Male,9,190000
28,Female,5,150000
26,Female,3,120000
30,Male,7,170000
27,Female,4,130000
24,Male,2,95000
33,Male,11,195000
25,Male,2,100000
28,Male,5,150000
26,Male,3,120000
29,Female,6,150000
32,Male,8,180000
33,Female,11,195000
27,Male,4,160000
31,Female,6,170000
30,Male,5,140000
24,Male,2,95000
28,Female,5,150000
26,Male,3,120000
32,Male,8,180000
33,Female,11,195000
25,Male,2,100000
30,Female,7,170000
27,Male,4,160000
34,Female,12,190000
31,Male,9,190000
28,Female,5,150000
26,Male,3,120000
29,Female,6,150000
32,Male,8,180000
33,Female,11,195000
24,Male,2,95000
27,Male,4,160000
25,Female,2,100000
30,Female,7,170000
31,Male,9,190000
28,Female,5,150000
26,Male,3,120000
29,Female,6,150000
32,Male,8,180000
33,Female,11,195000
24,Male,2,95000
27,Male,4,160000
25,Female,2,100000
30,Female,7,170000
31,Male,9,190000
28,Female,5,150000
26,Male,3,120000
29,Female,6,150000
32,Male,8,180000
33,Female,11,195000
24,Male,2,95000
27,Male,4,160000
25,Female,2,100000
30,Female,7,170000
31,Male,9,190000
28,Female,5,150000
26,Male,3,120000
29,Female,6,150000
32,Male,8,180000
33,Female,11,195000
24,Male,2,95000
27,Male,4,160000
25,Female,2,100000
30,Female,7,170000
31,Male,9,190000
28,Female,5,150000
26,Male,3,120000
29,Female,6,150000
32,Male,8,180000
33,Female,11,195000
24,Male,2,95000
27,Male,4,160000
25,Female,2,100000
30,Female,7,170000
31,Male,9,190000
28,Female,5,150000
26,Male,3,120000
29,Female,6,150000
32,Male,8,180000
33,Female,11,195000
24,Male,2,95000
27,Male,4,160000
25,Female,2,100000
30,Female,7,170000
31,Male,9,190000
28,Female,5,150000
26,Male,3,120000
29,Female,6,150000
32,Male,8,180000
33,Female,11,195000
24,Male,2,95000
27,Male,4,160000
25,Female,2,100000
30,Female,7,170000
31,Male,9,190000
28,Female,5,150000
26,Male,3,120000
29,Female,6,150000
32,Male,8,180000
33,Female,11,195000
24,Male,2,95000
27,Male,4,160000
25,Female,2,100000
30,Female,7,170000
31,Male,9,190000
28,Female,5,150000
26,Male,3,120000
29,Female,6,150000
32,Male,8,180000
33,Female,11,195000
24,Male,2,95000
27,Male,4,160000
25,Female,2,100000
30,Female,7,170000
31,Male,9,190000
28,Female,5,150000
26,Male,3,120000
29,Female,6,150000
32,Male,8,180000
33,Female,11,195000
24,Male,2,95000
27,Male,4,160000
25,Female,2,100000
30,Female,7,170000
29,Male,7,180000
27,Female,5,120000
33,Male,10,195000
28,Male,4,160000
26,Female,3,100000
31,Male,8,190000
30,Male,6,170000
32,Female,9,185000
29,Male,7,130000
35,Female,12,190000
27,Male,5,150000
28,Female,6,150000
37,Male,14,195000
26,Male,3,110000
30,Female,8,180000
31,Male,9,185000
29,Female,7,130000
32,Male,10,190000
28,Female,6,155000
34,Male,12,195000
25,Female,2,90000
30,Male,8,185000
29,Female,6,120000
31,Male,9,180000
26,Female,3,100000
33,Male,10,195000
28,Male,4,160000
27,Female,5,125000
30,Male,6,170000
32,Female,9,185000
29,Male,7,130000
35,Female,12,190000
27,Male,5,150000
28,Female,6,150000
37,Male,14,195000
26,Male,3,110000
30,Female,8,180000
31,Male,9,185000
29,Female,7,130000
32,Male,10,190000
28,Female,6,155000
34,Male,12,195000
25,Female,2,90000
30,Male,8,185000
29,Female,6,120000
31,Male,9,180000
26,Female,3,100000
33,Male,10,195000
28,Male,4,160000
27,Female,5,125000
30,Male,6,170000
32,Female,9,185000
29,Male,7,130000
35,Female,12,190000
27,Male,5,150000
28,Female,6,150000
37,Male,14,195000
26,Male,3,110000
30,Female,8,180000
31,Male,9,185000
29,Female,7,130000
32,Male,10,190000
28,Female,6,155000
34,Male,12,195000
25,Female,2,90000
30,Male,8,185000
29,Female,6,120000
31,Male,9,180000
26,Female,3,100000
33,Male,10,195000
28,Male,4,160000
27,Female,5,125000
30,Male,6,170000
32,Female,9,185000
29,Male,7,130000
35,Female,12,190000
27,Male,5,150000
28,Female,6,150000
37,Male,14,195000
26,Male,3,110000
30,Female,8,180000
31,Male,9,185000
29,Female,7,130000
32,Male,10,190000
28,Female,6,155000
34,Male,12,195000
25,Female,2,90000
30,Male,8,185000
29,Female,6,120000
31,Male,9,180000
26,Female,3,100000
33,Male,10,195000
28,Male,4,160000
27,Female,5,125000
30,Male,6,170000
32,Female,9,185000
29,Male,7,130000
35,Female,12,190000
27,Male,5,150000
28,Female,6,150000
37,Male,14,195000
26,Male,3,110000
30,Female,8,180000
31,Male,9,185000
29,Female,7,130000
32,Male,10,190000
28,Female,6,155000
34,Male,12,195000
25,Female,2,90000
30,Male,8,185000
28,Male,7,175000
44,Male,18,190000
33,Female,5,110000
50,Male,16,195000
27,Female,3,100000
25,Male,1,60000
35,Male,8,155000
47,Female,12,175000
46,Female,13,180000
32,Male,4,95000
61,Male,20,200000
41,Male,11,165000
37,Male,9,145000
53,Male,19,195000
30,Female,2,75000
26,Female,3,90000
37,Female,9,155000
32,Male,5,115000
44,Female,12,170000
50,Female,16,190000
27,Male,4,115000
42,Male,14,180000
57,Male,18,195000
35,Male,7,140000
62,Male,19,200000
26,Female,2,70000
42,Female,11,170000
41,Female,14,185000
36,Female,8,140000
49,Male,15,185000
49,Male,15,185000
47,Male,15,180000
47,Male,14,175000
26,Male,2,70000
24,Female,1,60000
62,Male,20,200000
42,Male,14,170000
41,Female,11,165000
23,Male,1,55000
55,Male,17,190000
26,Female,3,90000
33,Female,5,105000
31,Male,6,130000
50,Female,16,185000
24,Female,1,60000
56,Male,17,195000
24,Male,1,60000
37,Male,8,150000
43,Female,13,180000
44,Female,12,170000
34,Male,6,125000
45,Male,15,185000
29,Male,3,90000
29,Male,3,80000
29,Female,3,85000
48,Male,16,190000
43,Female,11,160000
62,Male,19,200000
54,Male,17,195000
60,Male,18,195000
54,Female,14,190000
27,Female,3,95000
23,Male,1,55000
45,Male,13,185000
32,Female,5,120000
57,Male,16,195000
47,Male,14,175000
25,Female,2,75000
58,Male,17,200000
41,Female,12,160000
41,Male,12,175000
26,Male,2,70000
47,Male,15,180000
24,Female,1,60000
48,Male,16,190000
32,Male,5,120000
61,Male,20,200000
45,Male,14,185000
50,Female,16,190000
53,Male,18,195000
47,Female,14,170000
23,Male,1,55000
33,Male,6,130000
42,Male,14,180000
45,Male,14,185000
23,Male,1,55000
37,Male,9,145000
44,Female,12,170000
54,Male,17,195000
38,Female,10,155000
34,Male,6,125000
46,Female,14,180000
30,Male,4,95000
44,Female,11,170000
27,Female,3,100000
42,Male,14,175000
27,Male,3,80000
54,Male,18,195000
38,Male,10,155000
31,Male,6,125000
28,Female,4,110000
30,Female,6,130000
54,Male,16,190000
62,Male,20,200000
62,Male,19,200000
37,Male,9,150000
31,Male,7,140000
58,Female,17,195000
56,Male,17,195000
23,Female,1,55000
49,Male,15,185000
32,Female,5,120000
52,Female,16,190000
32,Female,6,130000
50,Female,16,190000
32,Male,6,130000
34,Male,7,140000
28,Male,2,70000
44,Male,11,170000
55,Male,17,190000
27,Male,3,80000
46,Male,14,180000
27,Female,2,70000
45,Male,14,185000
23,Female,1,55000
36,Female,8,140000
47,Female,14,170000
33,Male,6,130000
43,Male,13,180000
30,Male,4,95000
28,Female,2,70000
43,Male,12,165000
43,Male,13,185000
36,Male,7,140000
24,Male,1,60000
28,Female,3,80000
37,Male,9,150000
41,Female,14,185000
26,Male,2,70000
28,Female,3,90000
43,Male,12,170000
42,Male,14,170000
48,Male,16,190000
27,Female,2,70000
49,Male,15,185000
44,Male,12,170000
27,Female,3,100000
37,Male,10,155000
44,Female,12,170000
56,Male,18,195000
49,Male,15,185000
27,Male,2,70000
48,Male,16,190000
31,Male,7,140000
25,Male,1,60000
50,Male,16,190000
46,Male,14,180000
33,Male,6,130000
42,Male,14,170000
41,Male,12,165000
43,Male,13,185000
32,Male,6,130000
24,Male,1,60000
44,Female,11,170000
36,Male,7,140000
28,Female,4,110000
28,Male,2,70000
37,Male,9,145000
54,Male,16,190000
58,Male,17,200000
27,Male,3,80000
30,Male,4,95000
27,Female,3,100000
54,Male,17,195000
49,Male,15,185000
38,Male,10,155000
54,Male,18,195000
31,Male,6,125000
56,Male,17,195000
31,Male,7,140000
42,Male,14,170000
44,Male,11,170000
37,Male,9,150000
24,Female,1,60000
27,Male,2,70000
42,Male,14,170000
24,Female,1,55000
28,Female,3,80000
43,Male,13,185000
31,Male,7,140000
43,Male,13,180000
27,Female,2,70000
49,Male,15,185000
48,Male,16,190000
