age,job,marital,education,balance,housing,loan,duration,campaign,deposit
41,blue-collar,single,primary,1618,yes,no,1553,1,yes
39,management,divorced,tertiary,517,yes,yes,1328,1,yes
59,retired,married,secondary,1521,yes,yes,1125,2,yes
41,blue-collar,married,secondary,2823,yes,no,858,1,yes
48,blue-collar,married,secondary,1405,yes,no,629,2,yes
40,admin.,married,secondary,1535,yes,no,704,1,yes
48,blue-collar,married,secondary,1596,yes,no,760,1,yes
60,retired,married,primary,1542,yes,no,930,1,yes
40,technician,single,,3652,yes,no,1028,2,yes
57,technician,married,tertiary,-1,no,no,850,2,yes
51,blue-collar,married,secondary,7180,yes,no,927,1,yes
41,blue-collar,divorced,secondary,5291,yes,no,1423,3,yes
41,blue-collar,married,secondary,1384,yes,no,1162,4,yes
52,blue-collar,divorced,primary,-191,yes,no,755,1,yes
59,blue-collar,married,primary,320,yes,no,695,1,yes
44,blue-collar,married,,146,yes,no,483,1,yes
49,,married,primary,341,yes,yes,520,2,yes
40,services,married,primary,-9,yes,no,920,2,yes
41,admin.,married,primary,-306,yes,no,500,1,yes
44,technician,married,tertiary,4580,yes,no,911,2,yes
60,services,single,primary,313,yes,no,920,2,yes
29,management,married,tertiary,10576,no,no,1224,2,yes
41,retired,divorced,primary,-233,yes,no,1156,2,yes
41,blue-collar,married,primary,2453,yes,no,1052,1,yes
42,technician,single,secondary,1364,yes,no,1867,6,yes
36,services,single,,281,yes,no,515,1,yes
39,technician,married,tertiary,94,yes,yes,813,1,yes
31,self-employed,single,tertiary,144,yes,no,676,1,yes
26,blue-collar,married,secondary,246,yes,no,1143,3,yes
31,blue-collar,married,secondary,92,yes,no,688,1,yes
29,admin.,single,secondary,163,yes,yes,803,1,yes
37,services,divorced,secondary,49,yes,no,619,2,yes
33,blue-collar,single,secondary,-416,yes,no,767,2,yes
24,technician,single,secondary,409,yes,no,912,1,yes
50,admin.,divorced,secondary,363,yes,no,1340,1,yes
27,technician,single,tertiary,3706,yes,no,897,1,yes
54,management,single,tertiary,4393,yes,no,1297,3,yes
30,technician,single,secondary,863,yes,no,1193,5,yes
34,blue-collar,married,primary,695,yes,yes,1064,4,yes
37,management,single,secondary,792,yes,no,1187,4,yes
41,admin.,single,secondary,1020,yes,no,882,1,yes
47,blue-collar,married,secondary,863,yes,no,943,2,yes
31,admin.,married,secondary,97,yes,no,607,1,yes
31,blue-collar,married,secondary,754,yes,no,1022,4,yes
43,services,divorced,secondary,1040,yes,no,552,3,yes
37,management,divorced,tertiary,122,yes,no,1622,2,yes
30,technician,single,tertiary,880,yes,yes,967,6,yes
41,technician,married,secondary,501,yes,no,579,5,yes
36,blue-collar,married,secondary,4438,yes,no,446,1,yes
35,blue-collar,divorced,secondary,0,yes,no,1205,1,yes
29,services,single,secondary,271,yes,no,1882,2,yes
35,blue-collar,married,primary,102,yes,no,1334,1,yes
31,blue-collar,married,secondary,2,yes,no,182,2,yes
35,services,married,secondary,4170,yes,no,1777,1,yes
34,technician,single,secondary,85,yes,no,1182,4,yes
31,admin.,single,secondary,431,yes,yes,1045,1,yes
44,technician,divorced,secondary,982,yes,no,650,3,yes
36,blue-collar,married,primary,408,yes,yes,1063,2,yes
35,blue-collar,married,,4822,yes,no,843,2,yes
41,blue-collar,married,primary,1250,yes,no,1392,2,yes
31,blue-collar,single,primary,216,yes,no,565,1,yes
34,blue-collar,married,secondary,1207,yes,no,905,1,yes
32,technician,married,secondary,791,yes,no,783,2,yes
36,management,married,tertiary,849,yes,yes,958,2,yes
30,blue-collar,single,secondary,239,yes,no,412,1,yes
37,technician,single,secondary,1211,yes,no,795,1,yes
36,blue-collar,married,primary,599,yes,no,649,2,yes
31,management,single,tertiary,825,yes,no,506,2,yes
27,technician,married,secondary,2183,yes,yes,857,1,yes
34,retired,married,primary,4499,no,no,1681,1,yes
30,technician,single,tertiary,1289,yes,no,1697,2,yes
32,technician,single,tertiary,4665,yes,no,860,2,yes
37,technician,single,secondary,3326,yes,no,799,1,yes
32,blue-collar,married,secondary,783,yes,no,923,3,yes
33,blue-collar,married,secondary,0,yes,no,521,3,yes
35,blue-collar,married,primary,994,yes,no,1349,8,yes
35,self-employed,divorced,tertiary,1354,yes,no,736,2,yes
30,blue-collar,single,secondary,239,yes,no,785,1,yes
45,blue-collar,divorced,primary,-311,yes,no,1030,1,yes
45,admin.,married,secondary,149,yes,no,893,3,yes
33,blue-collar,married,secondary,1464,yes,no,588,3,yes
44,management,divorced,tertiary,5773,no,no,597,6,yes
40,blue-collar,married,primary,278,yes,no,1015,3,yes
31,blue-collar,married,secondary,2910,yes,no,1392,2,yes
30,technician,married,tertiary,541,yes,no,414,2,yes
44,technician,divorced,secondary,1262,yes,no,788,11,yes
34,services,married,secondary,-538,yes,no,682,1,yes
37,blue-collar,married,secondary,125,no,no,679,2,yes
28,self-employed,single,tertiary,0,yes,no,1560,2,yes
32,admin.,single,secondary,620,yes,no,1234,3,yes
37,blue-collar,divorced,secondary,316,yes,no,642,2,yes
34,management,married,tertiary,2287,yes,no,895,4,yes
38,admin.,divorced,secondary,198,yes,no,431,2,yes
28,admin.,single,secondary,460,yes,no,741,6,yes
31,management,divorced,tertiary,1145,yes,no,1272,4,yes
59,services,married,secondary,-22,yes,no,748,3,yes
24,blue-collar,married,secondary,685,yes,no,896,3,yes
26,services,single,secondary,901,yes,no,764,2,yes
59,retired,single,secondary,351,yes,no,1063,5,yes
30,entrepreneur,single,primary,0,yes,yes,1051,1,yes
37,admin.,married,secondary,274,yes,no,731,3,yes
30,admin.,single,secondary,-213,yes,yes,751,1,yes
25,blue-collar,married,secondary,97,yes,no,709,1,yes
44,services,divorced,secondary,51,yes,yes,3094,2,yes
29,management,married,tertiary,314,no,no,938,2,yes
26,management,single,tertiary,6840,yes,no,1560,2,yes
26,technician,single,secondary,668,yes,no,576,3,yes
27,services,single,secondary,54,yes,no,543,2,yes
25,self-employed,single,secondary,1242,yes,no,615,2,yes
28,management,married,secondary,292,yes,no,507,1,yes
23,services,single,secondary,665,yes,no,1183,1,yes
34,management,single,tertiary,1058,yes,no,864,2,yes
28,student,single,secondary,949,yes,no,1730,1,yes
51,entrepreneur,married,,606,yes,no,560,9,yes
35,blue-collar,married,secondary,0,yes,yes,543,1,yes
35,admin.,married,secondary,404,yes,no,539,1,yes
56,blue-collar,married,secondary,249,yes,no,791,2,yes
45,unemployed,divorced,secondary,3354,yes,no,746,1,yes
60,blue-collar,divorced,secondary,0,yes,no,1207,1,yes
56,technician,married,secondary,589,yes,no,535,2,yes
27,management,single,tertiary,12956,yes,no,789,3,yes
30,admin.,married,secondary,873,yes,no,792,3,yes
45,blue-collar,divorced,primary,594,yes,no,833,2,yes
29,blue-collar,single,secondary,-20,yes,no,814,2,yes
38,management,divorced,tertiary,4692,yes,no,1363,2,yes
30,blue-collar,married,secondary,486,yes,no,1109,3,yes
44,blue-collar,single,primary,1593,yes,no,828,3,yes
36,management,single,tertiary,7606,yes,no,917,1,yes
38,technician,married,secondary,226,yes,no,762,3,yes
36,blue-collar,single,secondary,366,yes,yes,1133,2,yes
37,management,divorced,secondary,16,yes,no,638,1,yes
35,management,single,tertiary,565,yes,no,763,1,yes
38,admin.,divorced,secondary,19,yes,no,604,2,yes
40,services,married,primary,1082,yes,no,854,2,yes
42,unemployed,divorced,secondary,1713,yes,no,855,2,yes
46,management,divorced,tertiary,14481,yes,no,1269,1,yes
35,technician,divorced,secondary,5724,yes,no,691,10,yes
34,technician,divorced,secondary,1451,yes,no,1097,15,yes
32,services,married,secondary,-34,yes,no,1236,2,yes
50,unemployed,married,secondary,3674,yes,no,886,3,yes
35,blue-collar,married,secondary,698,yes,yes,1343,3,yes
36,technician,single,secondary,4136,yes,no,812,3,yes
53,blue-collar,divorced,primary,2656,yes,no,1980,2,yes
46,management,single,tertiary,2904,yes,no,984,2,yes
26,management,single,tertiary,1004,yes,no,228,2,yes
45,technician,single,secondary,410,yes,no,891,4,yes
31,unemployed,divorced,primary,0,yes,no,745,12,yes
29,management,single,tertiary,0,yes,no,539,12,yes
53,entrepreneur,single,secondary,62,yes,no,1044,5,yes
27,blue-collar,married,primary,416,yes,no,1193,2,yes
39,management,married,tertiary,2763,yes,no,526,2,yes
36,services,married,secondary,2984,yes,no,394,1,yes
41,blue-collar,married,primary,143,yes,yes,659,2,yes
36,services,married,primary,0,yes,no,1036,1,yes
32,technician,married,secondary,696,yes,no,815,1,yes
35,services,married,secondary,152,yes,no,563,1,yes
36,management,single,tertiary,-78,yes,no,1068,1,yes
35,management,married,tertiary,867,yes,no,230,3,yes
30,blue-collar,single,secondary,953,yes,no,747,2,yes
42,blue-collar,married,secondary,443,yes,no,671,5,yes
42,technician,single,secondary,-1129,yes,no,555,5,yes
32,blue-collar,married,primary,415,yes,no,777,4,yes
29,blue-collar,single,secondary,260,yes,no,707,14,yes
44,management,divorced,tertiary,-411,yes,no,432,4,yes
32,technician,single,secondary,1279,yes,no,1173,3,yes
31,unemployed,married,secondary,86,yes,yes,963,2,yes
40,self-employed,married,secondary,-754,yes,yes,941,3,yes
43,entrepreneur,married,secondary,0,no,no,1025,7,yes
27,management,single,secondary,178,yes,no,732,2,yes
37,services,single,secondary,278,yes,no,1045,3,yes
23,services,single,secondary,425,yes,no,768,1,yes
25,management,married,primary,168,yes,no,801,1,yes
26,blue-collar,single,secondary,-36,yes,no,482,2,yes
47,blue-collar,divorced,primary,126,yes,no,2456,2,yes
35,admin.,married,secondary,-87,yes,no,1363,7,yes
32,technician,single,tertiary,6281,yes,no,1336,4,yes
45,management,divorced,secondary,644,yes,no,633,1,yes
30,admin.,divorced,secondary,377,yes,no,524,15,yes
29,services,single,secondary,-271,yes,no,578,1,yes
38,blue-collar,married,primary,5839,yes,no,984,2,yes
23,blue-collar,single,secondary,492,yes,no,638,1,yes
27,management,single,tertiary,99,yes,no,767,2,yes
27,management,single,tertiary,-713,yes,no,525,2,yes
29,services,single,secondary,32,yes,no,563,1,yes
30,self-employed,married,tertiary,543,yes,yes,1449,6,yes
36,blue-collar,married,primary,403,yes,no,920,1,yes
35,admin.,divorced,secondary,437,yes,no,908,1,yes
36,blue-collar,married,secondary,1772,no,no,208,1,yes
59,retired,divorced,primary,-88,yes,no,910,2,yes
47,entrepreneur,married,secondary,0,no,no,1446,1,yes
58,entrepreneur,married,tertiary,853,no,no,1149,2,yes
37,management,single,tertiary,240,no,no,1123,1,yes
46,admin.,single,secondary,849,yes,no,508,2,yes
43,blue-collar,single,secondary,318,yes,no,736,2,yes
27,management,single,tertiary,703,yes,no,590,3,yes
38,services,divorced,secondary,61,no,no,636,1,yes
53,housemaid,married,primary,104,no,yes,701,1,yes
47,blue-collar,married,secondary,1996,no,no,761,2,yes
56,housemaid,divorced,primary,1238,no,no,1558,1,yes
41,housemaid,married,secondary,879,no,no,1053,2,yes
29,self-employed,married,secondary,425,yes,no,562,15,yes
50,technician,married,secondary,416,yes,no,494,5,yes
45,blue-collar,divorced,primary,844,no,no,1018,3,yes
35,blue-collar,married,secondary,860,yes,no,884,4,yes
26,technician,single,secondary,639,yes,no,709,5,yes
26,admin.,married,secondary,710,yes,yes,1276,2,yes
37,blue-collar,married,,1508,no,yes,381,2,yes
30,admin.,single,secondary,223,yes,no,862,11,yes
38,management,single,tertiary,619,yes,no,460,4,yes
37,services,divorced,secondary,319,yes,no,467,3,yes
53,technician,married,secondary,480,no,no,648,2,yes
29,blue-collar,single,primary,213,yes,no,2653,3,yes
35,management,single,tertiary,68,no,no,1085,1,yes
28,blue-collar,married,secondary,2788,yes,no,369,2,yes
55,blue-collar,married,,7561,no,no,685,3,yes
49,management,divorced,secondary,-46,yes,no,1055,10,yes
50,services,married,secondary,1595,no,no,882,1,yes
43,management,single,tertiary,1046,no,no,901,1,yes
58,self-employed,divorced,tertiary,1382,no,no,700,1,yes
38,technician,married,primary,217,yes,no,491,6,yes
48,blue-collar,divorced,primary,183,no,no,940,1,yes
59,management,married,secondary,1321,no,no,3881,3,yes
58,blue-collar,married,secondary,25,no,no,486,3,yes
36,self-employed,single,tertiary,4844,no,no,1137,3,yes
42,entrepreneur,married,tertiary,5345,no,no,878,3,yes
41,admin.,single,secondary,812,no,yes,583,4,yes
42,admin.,married,secondary,105,no,no,1159,4,yes
39,management,married,tertiary,-190,no,yes,893,8,yes
57,housemaid,married,primary,625,no,yes,867,1,yes
52,retired,married,,293,no,no,706,1,yes
59,retired,married,,1033,no,no,1199,1,yes
56,blue-collar,married,secondary,1210,no,no,935,1,yes
49,management,married,tertiary,64,no,no,586,1,yes
35,blue-collar,divorced,,164,no,no,967,2,yes
36,unemployed,married,secondary,1766,no,no,595,2,yes
40,admin.,single,tertiary,1248,no,no,1290,2,yes
55,blue-collar,married,secondary,0,no,no,614,2,yes
58,admin.,married,secondary,826,no,no,885,1,yes
39,self-employed,married,tertiary,2630,no,no,651,5,yes
47,housemaid,single,tertiary,3727,no,no,993,6,yes
40,management,married,secondary,406,yes,no,577,2,yes
35,blue-collar,married,tertiary,2999,no,no,1141,6,yes
48,blue-collar,married,secondary,1000,yes,no,1268,2,yes
48,management,divorced,tertiary,503,no,yes,1243,7,yes
24,blue-collar,single,secondary,-203,yes,no,465,3,yes
49,blue-collar,married,primary,361,yes,no,513,2,yes
36,blue-collar,married,secondary,274,yes,no,686,11,yes
52,retired,divorced,tertiary,3687,yes,yes,741,4,yes
42,entrepreneur,single,,323,no,no,617,1,yes
36,services,married,secondary,981,no,no,1093,1,yes
36,blue-collar,divorced,secondary,638,yes,no,1395,2,yes
48,unemployed,single,tertiary,3229,no,no,1089,1,yes
51,management,single,secondary,1610,yes,no,1248,3,yes
51,blue-collar,married,secondary,33,no,yes,721,3,yes
46,technician,married,secondary,536,yes,no,750,2,yes
37,management,married,tertiary,0,no,no,637,6,yes
36,entrepreneur,married,tertiary,3057,no,no,2769,4,yes
47,management,married,secondary,2892,no,no,556,1,yes
40,technician,divorced,tertiary,0,no,no,522,1,yes
38,student,single,tertiary,3316,no,no,1345,3,yes
40,management,married,secondary,106,no,no,676,2,yes
39,blue-collar,married,primary,2303,yes,no,775,3,yes
60,management,married,tertiary,3301,no,no,2621,3,yes
39,self-employed,single,tertiary,426,no,no,1029,1,yes
51,services,divorced,secondary,9,no,no,371,2,yes
27,admin.,married,secondary,-97,yes,no,1528,2,yes
41,management,single,tertiary,11008,no,no,1540,1,yes
42,blue-collar,single,primary,4930,no,no,973,1,yes
41,entrepreneur,married,secondary,707,no,no,707,1,yes
33,technician,married,secondary,4,yes,yes,625,2,yes
46,admin.,married,secondary,126,no,no,1255,1,yes
31,blue-collar,married,secondary,671,yes,no,704,4,yes
41,blue-collar,married,primary,219,no,yes,1574,3,yes
41,blue-collar,divorced,secondary,3622,no,no,1135,4,yes
55,retired,divorced,secondary,1580,no,yes,1007,1,yes
53,technician,married,secondary,1319,no,no,1318,3,yes
55,housemaid,married,primary,2152,no,no,922,2,yes
39,services,married,secondary,2843,yes,no,585,1,yes
40,entrepreneur,married,tertiary,0,no,no,952,4,yes
59,retired,married,primary,1115,no,no,834,1,yes
42,blue-collar,single,secondary,625,no,no,651,3,yes
41,blue-collar,married,primary,246,no,no,683,3,yes
27,blue-collar,married,secondary,61,yes,no,1012,1,yes
25,blue-collar,single,secondary,-191,yes,no,958,7,yes
43,unemployed,married,primary,519,no,no,973,2,yes
44,services,married,secondary,522,no,yes,911,1,yes
26,blue-collar,single,secondary,-46,yes,no,382,7,yes
52,retired,married,tertiary,2269,no,no,1210,1,yes
54,services,married,,386,no,yes,838,1,yes
56,management,married,tertiary,0,no,yes,422,1,yes
57,management,married,tertiary,9103,no,yes,1098,2,yes
29,blue-collar,single,secondary,908,yes,no,1663,1,yes
47,technician,married,tertiary,1694,no,yes,560,3,yes
57,management,married,tertiary,-92,yes,yes,1617,1,yes
40,blue-collar,married,secondary,188,yes,yes,570,2,yes
46,services,divorced,secondary,0,no,no,1023,3,yes
43,blue-collar,single,secondary,740,yes,no,585,2,yes
45,management,married,tertiary,655,no,no,693,3,yes
24,management,married,secondary,867,yes,no,546,10,yes
40,blue-collar,married,secondary,1009,yes,yes,1036,5,yes
38,services,divorced,,6360,no,no,1409,2,yes
36,unemployed,married,tertiary,4145,no,no,988,4,yes
27,blue-collar,single,secondary,-27,no,no,498,2,yes
26,admin.,single,primary,-122,yes,no,670,3,yes
43,management,married,tertiary,149,yes,no,662,2,yes
25,blue-collar,single,primary,52,yes,no,528,2,yes
27,blue-collar,married,tertiary,335,yes,no,519,3,yes
30,technician,married,tertiary,526,yes,yes,677,3,yes
28,admin.,single,secondary,-7,no,yes,3183,2,yes
27,blue-collar,married,primary,-413,no,yes,422,6,yes
32,admin.,divorced,secondary,-241,no,yes,856,2,yes
41,blue-collar,single,secondary,75,yes,no,479,9,yes
37,technician,single,tertiary,0,no,no,1135,2,yes
27,technician,single,secondary,158,no,no,650,2,yes
29,services,single,secondary,84,no,yes,587,3,yes
33,services,married,secondary,114,no,yes,676,1,yes
36,technician,married,primary,0,no,no,584,1,yes
28,blue-collar,single,secondary,-127,yes,no,1044,3,yes
55,blue-collar,married,secondary,49,yes,no,494,4,yes
51,technician,married,secondary,216,no,no,615,2,yes
39,technician,single,secondary,506,yes,no,718,2,yes
42,blue-collar,divorced,primary,213,yes,no,434,3,yes
33,services,single,secondary,170,no,no,782,1,yes
36,entrepreneur,divorced,tertiary,776,no,yes,722,3,yes
45,technician,married,secondary,879,no,no,621,2,yes
37,self-employed,married,secondary,1633,no,no,629,2,yes
46,unemployed,married,secondary,926,no,no,385,5,yes
32,self-employed,single,tertiary,2559,no,no,889,1,yes
28,technician,single,secondary,909,no,yes,532,1,yes
45,admin.,divorced,secondary,-176,no,yes,574,1,yes
41,blue-collar,single,secondary,1085,yes,yes,599,1,yes
59,blue-collar,divorced,primary,1265,no,yes,849,1,yes
47,technician,single,secondary,-239,yes,yes,973,3,yes
31,blue-collar,single,secondary,726,no,no,719,2,yes
31,management,single,tertiary,296,no,yes,509,4,yes
33,entrepreneur,married,secondary,-627,yes,yes,740,1,yes
52,entrepreneur,married,tertiary,-468,no,no,534,1,yes
26,self-employed,single,secondary,551,no,no,531,1,yes
25,technician,single,secondary,0,no,yes,634,1,yes
25,blue-collar,married,secondary,101,no,yes,460,3,yes
28,blue-collar,single,secondary,517,no,yes,681,1,yes
33,entrepreneur,divorced,tertiary,37,no,yes,1082,1,yes
45,management,divorced,tertiary,854,no,yes,730,1,yes
36,services,married,secondary,30,no,yes,716,5,yes
26,blue-collar,single,secondary,81,no,yes,803,2,yes
38,technician,married,secondary,0,no,no,635,1,yes
56,blue-collar,single,secondary,663,no,yes,819,3,yes
26,admin.,single,secondary,102,no,yes,658,2,yes
26,technician,married,secondary,370,no,yes,1061,4,yes
25,blue-collar,single,secondary,189,no,yes,687,2,yes
26,unemployed,single,secondary,111,no,no,537,1,yes
40,blue-collar,married,primary,665,yes,no,781,1,yes
37,admin.,married,primary,214,yes,no,645,1,yes
43,blue-collar,single,primary,0,no,no,1242,1,yes
41,services,divorced,tertiary,1583,yes,no,662,1,yes
49,blue-collar,married,secondary,0,no,yes,625,1,yes
29,admin.,divorced,tertiary,0,no,yes,426,3,yes
39,services,divorced,secondary,687,yes,no,869,1,yes
38,management,married,tertiary,327,yes,yes,556,5,yes
26,technician,married,secondary,-119,no,yes,359,5,yes
32,management,married,tertiary,794,yes,yes,1014,1,yes
33,blue-collar,married,primary,-191,yes,yes,1290,4,yes
31,management,single,tertiary,409,no,yes,564,5,yes
49,blue-collar,married,primary,3,no,yes,1439,6,yes
27,unemployed,single,primary,9,no,yes,919,2,yes
30,blue-collar,single,secondary,155,yes,yes,1426,3,yes
35,blue-collar,married,secondary,1330,no,no,901,1,yes
26,blue-collar,single,secondary,-29,yes,no,998,4,yes
45,entrepreneur,married,,3133,yes,yes,804,1,yes
34,admin.,married,secondary,-33,yes,yes,961,1,yes
28,admin.,single,secondary,-170,no,yes,720,2,yes
25,blue-collar,single,secondary,1243,no,yes,1341,7,yes
30,blue-collar,single,secondary,1598,yes,no,634,1,yes
30,services,married,secondary,5,no,yes,829,5,yes
47,services,married,secondary,367,yes,no,476,4,yes
57,admin.,divorced,secondary,658,no,no,724,1,yes
38,management,married,tertiary,1722,yes,no,500,1,yes
54,technician,married,secondary,-315,no,yes,2029,1,yes
25,blue-collar,single,primary,2483,no,no,1499,3,yes
30,blue-collar,married,secondary,0,yes,yes,1399,1,yes
26,management,single,tertiary,45,no,no,1187,3,yes
31,student,married,primary,46,yes,no,487,1,yes
29,blue-collar,single,secondary,482,no,yes,1097,3,yes
49,blue-collar,married,secondary,3728,yes,no,1060,2,yes
60,retired,divorced,secondary,1099,no,no,764,2,yes
60,management,married,tertiary,2222,yes,no,1120,2,yes
29,management,single,tertiary,983,yes,no,963,2,yes
55,management,divorced,secondary,204,yes,no,1973,2,yes
44,admin.,married,secondary,1074,yes,no,911,2,yes
47,technician,married,secondary,3466,yes,no,853,2,yes
35,admin.,married,secondary,-203,yes,no,1649,2,yes
35,entrepreneur,married,secondary,2436,no,yes,1397,3,yes
38,technician,married,secondary,976,yes,no,766,3,yes
34,entrepreneur,married,tertiary,146,yes,no,788,2,yes
50,technician,married,secondary,156,no,yes,1130,3,yes
43,admin.,married,tertiary,189,yes,no,1062,4,yes
44,admin.,divorced,secondary,163,yes,no,1669,2,yes
51,services,divorced,secondary,242,no,yes,1336,4,yes
31,technician,married,secondary,1173,yes,no,444,3,yes
39,technician,married,tertiary,0,yes,no,894,7,yes
59,management,married,tertiary,296,no,yes,805,3,yes
25,services,single,secondary,333,no,yes,1056,2,yes
58,management,married,tertiary,3864,yes,no,815,4,yes
30,entrepreneur,married,primary,2686,yes,no,808,3,yes
34,blue-collar,single,primary,-109,yes,no,860,4,yes
51,services,divorced,secondary,65,no,yes,881,1,yes
60,retired,married,secondary,597,no,no,981,1,yes
51,entrepreneur,married,secondary,-799,no,yes,1001,3,yes
37,management,divorced,tertiary,1775,no,no,514,5,yes
30,blue-collar,single,primary,0,no,no,716,3,yes
46,entrepreneur,divorced,secondary,-563,no,yes,769,4,yes
29,student,single,tertiary,5,no,no,889,5,yes
27,entrepreneur,married,tertiary,139,no,no,448,5,yes
28,management,single,tertiary,0,yes,no,767,5,yes
34,blue-collar,single,secondary,855,yes,no,578,1,yes
29,blue-collar,single,,694,yes,yes,1806,4,yes
27,management,single,tertiary,151,yes,no,496,1,yes
26,technician,single,secondary,354,no,no,586,1,yes
36,management,married,tertiary,673,yes,no,689,1,yes
44,blue-collar,married,primary,1265,yes,no,555,1,yes
39,blue-collar,married,tertiary,597,no,no,686,6,yes
30,technician,married,secondary,-393,yes,yes,435,1,yes
31,unemployed,divorced,tertiary,256,yes,no,873,2,yes
56,blue-collar,married,primary,0,yes,no,1222,1,yes
29,blue-collar,married,secondary,2870,yes,no,988,1,yes
43,blue-collar,married,secondary,184,no,yes,1019,11,yes
32,blue-collar,married,secondary,1905,yes,no,709,2,yes
30,admin.,single,secondary,-36,no,no,561,9,yes
40,blue-collar,married,secondary,-839,yes,yes,1018,2,yes
42,services,married,secondary,3465,yes,yes,1039,2,yes
27,student,married,secondary,119,yes,no,781,2,yes
35,management,married,tertiary,36,no,yes,1656,5,yes
35,housemaid,married,primary,113,yes,no,923,2,yes
32,blue-collar,single,secondary,118,yes,no,1275,1,yes
39,technician,married,secondary,251,yes,no,342,2,yes
31,blue-collar,divorced,secondary,-277,yes,no,1008,2,yes
26,services,single,secondary,-189,no,yes,538,2,yes
42,management,married,tertiary,4,yes,no,795,1,yes
27,services,single,secondary,1820,yes,no,1027,1,yes
33,self-employed,divorced,secondary,1904,yes,no,1584,2,yes
51,blue-collar,married,primary,201,yes,no,582,2,yes
33,admin.,married,secondary,0,yes,no,1448,7,yes
30,technician,single,tertiary,178,no,no,656,3,yes
52,housemaid,married,primary,3798,yes,no,1208,1,yes
42,blue-collar,divorced,primary,301,yes,no,1175,2,yes
31,management,divorced,tertiary,294,yes,no,536,5,yes
27,services,married,secondary,0,yes,no,991,5,yes
44,blue-collar,single,secondary,292,no,yes,1153,4,yes
40,entrepreneur,divorced,secondary,2998,yes,no,623,3,yes
46,housemaid,divorced,primary,2084,yes,no,1081,2,yes
32,services,divorced,secondary,454,yes,no,978,1,yes
56,technician,divorced,secondary,179,no,no,536,1,yes
33,blue-collar,married,secondary,661,yes,no,968,1,yes
33,blue-collar,married,secondary,89,yes,no,278,2,yes
32,self-employed,married,primary,102,yes,no,560,1,yes
41,blue-collar,divorced,primary,138,yes,no,640,3,yes
31,admin.,single,secondary,622,no,no,420,1,yes
30,admin.,divorced,secondary,10,yes,no,658,2,yes
34,admin.,divorced,secondary,-251,no,no,641,1,yes
43,entrepreneur,married,secondary,104,yes,no,635,3,yes
28,blue-collar,married,secondary,173,no,no,588,7,yes
32,admin.,divorced,secondary,-46,no,yes,1373,4,yes
31,blue-collar,divorced,secondary,0,yes,yes,913,4,yes
35,entrepreneur,single,tertiary,145,yes,no,799,2,yes
