Client,Age,Job,Marital ,Education,Balance,Housing,Loan,Duration,Campaign,deposit
53,59,3,3,2,1521,1,1,1125,2,1
54,41,5,3,2,2823,1,2,858,1,1
55,48,5,3,2,1405,1,2,629,2,1
56,40,8,3,2,1535,1,2,704,1,1
57,48,5,3,2,1596,1,2,760,1,1
58,60,3,3,1,1542,1,2,930,1,1
59,40,7,2,2,3652,1,2,1028,2,1
60,57,7,3,3,-1,0,2,850,2,1
61,51,5,3,2,7180,1,2,927,1,1
62,41,5,1,2,5291,1,2,1423,3,1
63,41,5,3,2,1384,1,2,1162,4,1
64,52,5,1,1,-191,1,2,755,1,1
65,59,5,3,1,320,1,2,695,1,1
66,44,5,3,2,146,1,2,483,1,1
67,49,10,3,1,341,1,1,520,2,1
68,40,6,3,1,-9,1,2,920,2,1
69,41,8,3,1,-306,1,2,500,1,1
70,44,7,3,3,4580,1,2,911,2,1
71,60,6,2,1,313,1,2,920,2,1
72,29,10,3,3,10576,0,2,1224,2,1
73,41,3,1,1,-233,1,2,1156,2,1
74,41,5,3,1,2453,1,2,1052,1,1
75,42,7,2,2,1364,1,2,1867,6,1
76,36,6,2,2,281,1,2,515,1,1
77,39,7,3,3,94,1,1,813,1,1
78,31,9,2,3,144,1,2,676,1,1
79,26,5,3,2,246,1,2,1143,3,1
80,31,5,3,2,92,1,2,688,1,1
81,29,8,2,2,163,1,1,803,1,1
82,37,6,1,2,49,1,2,619,2,1
83,33,5,2,2,-416,1,2,767,2,1
84,24,7,2,2,409,1,2,912,1,1
85,50,8,1,2,363,1,2,1340,1,1
86,27,7,2,3,3706,1,2,897,1,1
87,54,10,2,3,4393,1,2,1297,3,1
88,30,7,2,2,863,1,2,1193,5,1
89,34,5,3,1,695,1,1,1064,4,1
90,37,10,2,2,792,1,2,1187,4,1
91,41,8,2,2,1020,1,2,882,1,1
92,47,5,3,2,863,1,2,943,2,1
93,31,8,3,2,97,1,2,607,1,1
94,31,5,3,2,754,1,2,1022,4,1
95,43,6,1,2,1040,1,2,552,3,1
96,37,10,1,3,122,1,2,1622,2,1
97,30,7,2,3,880,1,1,967,6,1
98,41,7,3,2,501,1,2,579,5,1
99,36,5,3,2,4438,1,2,446,1,1
100,35,5,1,2,0,1,2,1205,1,1
101,29,6,2,2,271,1,2,1882,2,1
102,35,5,3,1,102,1,2,1334,1,1
103,31,5,3,2,2,1,2,182,2,1
104,35,6,3,2,4170,1,2,1777,1,1
105,34,7,2,2,85,1,2,1182,4,1
106,31,8,2,2,431,1,1,1045,1,1
107,44,7,1,2,982,1,2,650,3,1
108,36,5,3,1,408,1,1,1063,2,1
109,35,5,3,2,4822,1,2,843,2,1
110,41,5,3,1,1250,1,2,1392,2,1
111,31,5,2,1,216,1,2,565,1,1
112,34,5,3,2,1207,1,2,905,1,1
113,32,7,3,2,791,1,2,783,2,1
114,36,10,3,3,849,1,1,958,2,1
115,30,5,2,2,239,1,2,412,1,1
116,37,7,2,2,1211,1,2,795,1,1
117,36,5,3,1,599,1,2,649,2,1
118,31,10,2,3,825,1,2,506,2,1
119,27,7,3,2,2183,1,1,857,1,1
120,34,3,3,1,4499,0,2,1681,1,1
121,30,7,2,3,1289,1,2,1697,2,1
122,32,7,2,3,4665,1,2,860,2,1
123,37,7,2,2,3326,1,2,799,1,1
124,32,5,3,2,783,1,2,923,3,1
125,33,5,3,2,0,1,2,521,3,1
126,35,5,3,1,994,1,2,1349,8,1
127,35,9,1,3,1354,1,2,736,2,1
128,30,5,2,2,239,1,2,785,1,1
129,45,5,1,1,-311,1,2,1030,1,1
130,45,8,3,2,149,1,2,893,3,1
131,33,5,3,2,1464,1,2,588,3,1
132,44,10,1,3,5773,0,2,597,6,1
133,40,5,3,1,278,1,2,1015,3,1
134,31,5,3,2,2910,1,2,1392,2,1
135,30,7,3,3,541,1,2,414,2,1
136,44,7,1,2,1262,1,2,788,11,1
137,34,6,3,2,-538,1,2,682,1,1
138,37,5,3,2,125,0,2,679,2,1
139,28,9,2,3,0,1,2,1560,2,1
140,32,8,2,2,620,1,2,1234,3,1
141,37,5,1,2,316,1,2,642,2,1
142,34,10,3,3,2287,1,2,895,4,1
143,38,8,1,2,198,1,2,431,2,1
144,28,8,2,2,460,1,2,741,6,1
145,31,10,1,3,1145,1,2,1272,4,1
146,59,6,3,2,-22,1,2,748,3,1
147,24,5,3,2,685,1,2,896,3,1
148,26,6,2,2,901,1,2,764,2,1
149,59,3,2,2,351,1,2,1063,5,1
150,30,11,2,1,0,1,1,1051,1,1
151,37,8,3,2,274,1,2,731,3,1
152,30,8,2,2,-213,1,1,751,1,1
153,25,5,3,2,97,1,2,709,1,1
154,44,6,1,2,51,1,1,3094,2,1
155,29,10,3,3,314,0,2,938,2,1
156,26,10,2,3,6840,1,2,1560,2,1
157,26,7,2,2,668,1,2,576,3,1
158,27,6,2,2,54,1,2,543,2,1
159,25,9,2,2,1242,1,2,615,2,1
160,28,10,3,2,292,1,2,507,1,1
161,23,6,2,2,665,1,2,1183,1,1
162,34,10,2,3,1058,1,2,864,2,1
163,28,1,2,2,949,1,2,1730,1,1
164,51,11,3,2,606,1,2,560,9,1
165,35,5,3,2,0,1,1,543,1,1
166,35,8,3,2,404,1,2,539,1,1
167,56,5,3,2,249,1,2,791,2,1
168,45,2,1,2,3354,1,2,746,1,1
169,60,5,1,2,0,1,2,1207,1,1
170,56,7,3,2,589,1,2,535,2,1
171,27,10,2,3,12956,1,2,789,3,1
172,30,8,3,2,873,1,2,792,3,1
173,45,5,1,1,594,1,2,833,2,1
174,29,5,2,2,-20,1,2,814,2,1
175,38,10,1,3,4692,1,2,1363,2,1
176,30,5,3,2,486,1,2,1109,3,1
177,44,5,2,1,1593,1,2,828,3,1
178,36,10,2,3,7606,1,2,917,1,1
179,38,7,3,2,226,1,2,762,3,1
180,36,5,2,2,366,1,1,1133,2,1
181,37,10,1,2,16,1,2,638,1,1
182,35,10,2,3,565,1,2,763,1,1
183,38,8,1,2,19,1,2,604,2,1
184,40,6,3,1,1082,1,2,854,2,1
185,42,2,1,2,1713,1,2,855,2,1
186,46,10,1,3,14481,1,2,1269,1,1
187,35,7,1,2,5724,1,2,691,10,1
188,34,7,1,2,1451,1,2,1097,15,1
189,32,6,3,2,-34,1,2,1236,2,1
190,50,2,3,2,3674,1,2,886,3,1
191,35,5,3,2,698,1,1,1343,3,1
192,36,7,2,2,4136,1,2,812,3,1
193,53,5,1,1,2656,1,2,1980,2,1
194,46,10,2,3,2904,1,2,984,2,1
195,26,10,2,3,1004,1,2,228,2,1
196,45,7,2,2,410,1,2,891,4,1
197,31,2,1,1,0,1,2,745,12,1
198,29,10,2,3,0,1,2,539,12,1
199,53,11,2,2,62,1,2,1044,5,1
200,27,5,3,1,416,1,2,1193,2,1
201,39,10,3,3,2763,1,2,526,2,1
202,36,6,3,2,2984,1,2,394,1,1
203,41,5,3,1,143,1,1,659,2,1
204,36,6,3,1,0,1,2,1036,1,1
205,32,7,3,2,696,1,2,815,1,1
206,35,6,3,2,152,1,2,563,1,1
207,36,10,2,3,-78,1,2,1068,1,1
208,35,10,3,3,867,1,2,230,3,1
209,30,5,2,2,953,1,2,747,2,1
210,42,5,3,2,443,1,2,671,5,1
211,42,7,2,2,-1129,1,2,555,5,1
212,32,5,3,1,415,1,2,777,4,1
213,29,5,2,2,260,1,2,707,14,1
214,44,10,1,3,-411,1,2,432,4,1
215,32,7,2,2,1279,1,2,1173,3,1
216,31,2,3,2,86,1,1,963,2,1
217,40,9,3,2,-754,1,1,941,3,1
218,43,11,3,2,0,0,2,1025,7,1
219,27,10,2,2,178,1,2,732,2,1
220,37,6,2,2,278,1,2,1045,3,1
221,23,6,2,2,425,1,2,768,1,1
222,25,10,3,1,168,1,2,801,1,1
223,26,5,2,2,-36,1,2,482,2,1
224,47,5,1,1,126,1,2,2456,2,1
225,35,8,3,2,-87,1,2,1363,7,1
226,32,7,2,3,6281,1,2,1336,4,1
227,45,10,1,2,644,1,2,633,1,1
228,30,8,1,2,377,1,2,524,15,1
229,29,6,2,2,-271,1,2,578,1,1
230,38,5,3,1,5839,1,2,984,2,1
231,23,5,2,2,492,1,2,638,1,1
232,27,10,2,3,99,1,2,767,2,1
233,27,10,2,3,-713,1,2,525,2,1
234,29,6,2,2,32,1,2,563,1,1
235,30,9,3,3,543,1,1,1449,6,1
236,36,5,3,1,403,1,2,920,1,1
237,35,8,1,2,437,1,2,908,1,1
238,36,5,3,2,1772,0,2,208,1,1
239,59,3,1,1,-88,1,2,910,2,1
240,47,11,3,2,0,0,2,1446,1,1
241,58,11,3,3,853,0,2,1149,2,1
242,37,10,2,3,240,0,2,1123,1,1
243,46,8,2,2,849,1,2,508,2,1
244,43,5,2,2,318,1,2,736,2,1
245,27,10,2,3,703,1,2,590,3,1
246,38,6,1,2,61,0,2,636,1,1
247,53,4,3,1,104,0,1,701,1,1
248,47,5,3,2,1996,0,2,761,2,1
249,56,4,1,1,1238,0,2,1558,1,1
250,41,4,3,2,879,0,2,1053,2,1
251,29,9,3,2,425,1,2,562,15,1
252,50,7,3,2,416,1,2,494,5,1
253,45,5,1,1,844,0,2,1018,3,1
254,35,5,3,2,860,1,2,884,4,1
255,26,7,2,2,639,1,2,709,5,1
256,26,8,3,2,710,1,1,1276,2,1
257,37,5,3,2,1508,0,1,381,2,1
258,30,8,2,2,223,1,2,862,11,1
259,38,10,2,3,619,1,2,460,4,1
260,37,6,1,2,319,1,2,467,3,1
261,53,7,3,2,480,0,2,648,2,1
262,29,5,2,1,213,1,2,2653,3,1
263,35,10,2,3,68,0,2,1085,1,1
264,28,5,3,2,2788,1,2,369,2,1
265,55,5,3,2,7561,0,2,685,3,1
266,49,10,1,2,-46,1,2,1055,10,1
267,50,6,3,2,1595,0,2,882,1,1
268,43,10,2,3,1046,0,2,901,1,1
269,58,9,1,3,1382,0,2,700,1,1
270,38,7,3,1,217,1,2,491,6,1
271,48,5,1,1,183,0,2,940,1,1
272,59,10,3,2,1321,0,2,3881,3,1
273,58,5,3,2,25,0,2,486,3,1
274,36,9,2,3,4844,0,2,1137,3,1
275,42,11,3,3,5345,0,2,878,3,1
276,41,8,2,2,812,0,1,583,4,1
277,42,8,3,2,105,0,2,1159,4,1
278,39,10,3,3,-190,0,1,893,8,1
279,57,4,3,1,625,0,1,867,1,1
280,52,3,3,2,293,0,2,706,1,1
281,59,3,3,2,1033,0,2,1199,1,1
282,56,5,3,2,1210,0,2,935,1,1
283,49,10,3,3,64,0,2,586,1,1
284,35,5,1,2,164,0,2,967,2,1
285,36,2,3,2,1766,0,2,595,2,1
286,40,8,2,3,1248,0,2,1290,2,1
287,55,5,3,2,0,0,2,614,2,1
288,58,8,3,2,826,0,2,885,1,1
289,39,9,3,3,2630,0,2,651,5,1
290,47,4,2,3,3727,0,2,993,6,1
291,40,10,3,2,406,1,2,577,2,1
292,35,5,3,3,2999,0,2,1141,6,1
293,48,5,3,2,1000,1,2,1268,2,1
294,48,10,1,3,503,0,1,1243,7,1
295,24,5,2,2,-203,1,2,465,3,1
296,49,5,3,1,361,1,2,513,2,1
297,36,5,3,2,274,1,2,686,11,1
298,52,3,1,3,3687,1,1,741,4,1
299,42,11,2,2,323,0,2,617,1,1
300,36,6,3,2,981,0,2,1093,1,1
301,36,5,1,2,638,1,2,1395,2,1
302,48,2,2,3,3229,0,2,1089,1,1
303,51,10,2,2,1610,1,2,1248,3,1
304,51,5,3,2,33,0,1,721,3,1
305,46,7,3,2,536,1,2,750,2,1
306,37,10,3,3,0,0,2,637,6,1
307,36,11,3,3,3057,0,2,2769,4,1
308,47,10,3,2,2892,0,2,556,1,1
309,40,7,1,3,0,0,2,522,1,1
310,38,1,2,3,3316,0,2,1345,3,1
311,40,10,3,2,106,0,2,676,2,1
312,39,5,3,1,2303,1,2,775,3,1
313,60,10,3,3,3301,0,2,2621,3,1
314,39,9,2,3,426,0,2,1029,1,1
315,51,6,1,2,9,0,2,371,2,1
316,27,8,3,2,-97,1,2,1528,2,1
317,41,10,2,3,11008,0,2,1540,1,1
318,42,5,2,1,4930,0,2,973,1,1
319,41,11,3,2,707,0,2,707,1,1
320,33,7,3,2,4,1,1,625,2,1
321,46,8,3,2,126,0,2,1255,1,1
322,31,5,3,2,671,1,2,704,4,1
323,41,5,3,1,219,0,1,1574,3,1
324,41,5,1,2,3622,0,2,1135,4,1
325,55,3,1,2,1580,0,1,1007,1,1
326,53,7,3,2,1319,0,2,1318,3,1
327,55,4,3,1,2152,0,2,922,2,1
328,39,6,3,2,2843,1,2,585,1,1
329,40,11,3,3,0,0,2,952,4,1
330,59,3,3,1,1115,0,2,834,1,1
331,42,5,2,2,625,0,2,651,3,1
332,41,5,3,1,246,0,2,683,3,1
333,27,5,3,2,61,1,2,1012,1,1
334,25,5,2,2,-191,1,2,958,7,1
335,43,2,3,1,519,0,2,973,2,1
336,44,6,3,2,522,0,1,911,1,1
337,26,5,2,2,-46,1,2,382,7,1
338,52,3,3,3,2269,0,2,1210,1,1
339,54,6,3,2,386,0,1,838,1,1
340,56,10,3,3,0,0,1,422,1,1
341,57,10,3,3,9103,0,1,1098,2,1
342,29,5,2,2,908,1,2,1663,1,1
343,47,7,3,3,1694,0,1,560,3,1
344,57,10,3,3,-92,1,1,1617,1,1
345,40,5,3,2,188,1,1,570,2,1
346,46,6,1,2,0,0,2,1023,3,1
347,43,5,2,2,740,1,2,585,2,1
348,45,10,3,3,655,0,2,693,3,1
349,24,10,3,2,867,1,2,546,10,1
350,40,5,3,2,1009,1,1,1036,5,1
351,38,6,1,2,6360,0,2,1409,2,1
352,36,2,3,3,4145,0,2,988,4,1
353,27,5,2,2,-27,0,2,498,2,1
354,26,8,2,1,-122,1,2,670,3,1
355,43,10,3,3,149,1,2,662,2,1
356,25,5,2,1,52,1,2,528,2,1
357,27,5,3,3,335,1,2,519,3,1
358,30,7,3,3,526,1,1,677,3,1
359,28,8,2,2,-7,0,1,3183,2,1
360,27,5,3,1,-413,0,1,422,6,1
361,32,8,1,2,-241,0,1,856,2,1
362,41,5,2,2,75,1,2,479,9,1
363,37,7,2,3,0,0,2,1135,2,1
364,27,7,2,2,158,0,2,650,2,1
365,29,6,2,2,84,0,1,587,3,1
366,33,6,3,2,114,0,1,676,1,1
367,36,7,3,1,0,0,2,584,1,1
368,28,5,2,2,-127,1,2,1044,3,1
369,55,5,3,2,49,1,2,494,4,1
370,51,7,3,2,216,0,2,615,2,1
371,39,7,2,2,506,1,2,718,2,1
372,42,5,1,1,213,1,2,434,3,1
373,33,6,2,2,170,0,2,782,1,1
374,36,11,1,3,776,0,1,722,3,1
375,45,7,3,2,879,0,2,621,2,1
376,37,9,3,2,1633,0,2,629,2,1
377,46,2,3,2,926,0,2,385,5,1
378,32,9,2,3,2559,0,2,889,1,1
379,28,7,2,2,909,0,1,532,1,1
380,45,8,1,2,-176,0,1,574,1,1
381,41,5,2,2,1085,1,1,599,1,1
382,59,5,1,1,1265,0,1,849,1,1
383,47,7,2,2,-239,1,1,973,3,1
384,31,5,2,2,726,0,2,719,2,1
385,31,10,2,3,296,0,1,509,4,1
386,33,11,3,2,-627,1,1,740,1,1
387,52,11,3,3,-468,0,2,534,1,1
388,26,9,2,2,551,0,2,531,1,1
389,25,7,2,2,0,0,1,634,1,1
390,25,5,3,2,101,0,1,460,3,1
391,28,5,2,2,517,0,1,681,1,1
392,33,11,1,3,37,0,1,1082,1,1
393,45,10,1,3,854,0,1,730,1,1
394,36,6,3,2,30,0,1,716,5,1
395,26,5,2,2,81,0,1,803,2,1
396,38,7,3,2,0,0,2,635,1,1
397,56,5,2,2,663,0,1,819,3,1
398,26,8,2,2,102,0,1,658,2,1
399,26,7,3,2,370,0,1,1061,4,1
400,25,5,2,2,189,0,1,687,2,1
401,26,2,2,2,111,0,2,537,1,1
402,40,5,3,1,665,1,2,781,1,1
403,37,8,3,1,214,1,2,645,1,1
404,43,5,2,1,0,0,2,1242,1,1
405,41,6,1,3,1583,1,2,662,1,1
406,49,5,3,2,0,0,1,625,1,1
407,29,8,1,3,0,0,1,426,3,1
408,39,6,1,2,687,1,2,869,1,1
409,38,10,3,3,327,1,1,556,5,1
410,26,7,3,2,-119,0,1,359,5,1
411,32,10,3,3,794,1,1,1014,1,1
412,33,5,3,1,-191,1,1,1290,4,1
413,31,10,2,3,409,0,1,564,5,1
414,49,5,3,1,3,0,1,1439,6,1
415,27,2,2,1,9,0,1,919,2,1
416,30,5,2,2,155,1,1,1426,3,1
417,35,5,3,2,1330,0,2,901,1,1
418,26,5,2,2,-29,1,2,998,4,1
419,45,11,3,2,3133,1,1,804,1,1
420,34,8,3,2,-33,1,1,961,1,1
421,28,8,2,2,-170,0,1,720,2,1
422,25,5,2,2,1243,0,1,1341,7,1
423,30,5,2,2,1598,1,2,634,1,1
424,30,6,3,2,5,0,1,829,5,1
425,47,6,3,2,367,1,2,476,4,1
426,57,8,1,2,658,0,2,724,1,1
427,38,10,3,3,1722,1,2,500,1,1
428,54,7,3,2,-315,0,1,2029,1,1
429,25,5,2,1,2483,0,2,1499,3,1
430,30,5,3,2,0,1,1,1399,1,1
431,26,10,2,3,45,0,2,1187,3,1
432,31,1,3,1,46,1,2,487,1,1
433,29,5,2,2,482,0,1,1097,3,1
434,49,5,3,2,3728,1,2,1060,2,1
435,60,3,1,2,1099,0,2,764,2,1
436,60,10,3,3,2222,1,2,1120,2,1
437,29,10,2,3,983,1,2,963,2,1
438,55,10,1,2,204,1,2,1973,2,1
439,44,8,3,2,1074,1,2,911,2,1
440,47,7,3,2,3466,1,2,853,2,1
441,35,8,3,2,-203,1,2,1649,2,1
442,35,11,3,2,2436,0,1,1397,3,1
443,38,7,3,2,976,1,2,766,3,1
444,34,11,3,3,146,1,2,788,2,1
445,50,7,3,2,156,0,1,1130,3,1
446,43,8,3,3,189,1,2,1062,4,1
447,44,8,1,2,163,1,2,1669,2,1
448,51,6,1,2,242,0,1,1336,4,1
449,31,7,3,2,1173,1,2,444,3,1
450,39,7,3,3,0,1,2,894,7,1
451,59,10,3,3,296,0,1,805,3,1
452,25,6,2,2,333,0,1,1056,2,1
453,58,10,3,3,3864,1,2,815,4,1
454,30,11,3,1,2686,1,2,808,3,1
455,34,5,2,1,-109,1,2,860,4,1
456,51,6,1,2,65,0,1,881,1,1
457,60,3,3,2,597,0,2,981,1,1
458,51,11,3,2,-799,0,1,1001,3,1
459,37,10,1,3,1775,0,2,514,5,1
460,30,5,2,1,0,0,2,716,3,1
461,46,11,1,2,-563,0,1,769,4,1
462,29,1,2,3,5,0,2,889,5,1
463,27,11,3,3,139,0,2,448,5,1
464,28,10,2,3,0,1,2,767,5,1
465,34,5,2,2,855,1,2,578,1,1
466,29,5,2,2,694,1,1,1806,4,1
467,27,10,2,3,151,1,2,496,1,1
468,26,7,2,2,354,0,2,586,1,1
469,36,10,3,3,673,1,2,689,1,1
470,44,5,3,1,1265,1,2,555,1,1
471,39,5,3,3,597,0,2,686,6,1
472,30,7,3,2,-393,1,1,435,1,1
473,31,2,1,3,256,1,2,873,2,1
474,56,5,3,1,0,1,2,1222,1,1
475,29,5,3,2,2870,1,2,988,1,1
476,43,5,3,2,184,0,1,1019,11,1
477,32,5,3,2,1905,1,2,709,2,1
478,30,8,2,2,-36,0,2,561,9,1
479,40,5,3,2,-839,1,1,1018,2,1
480,42,6,3,2,3465,1,1,1039,2,1
481,27,1,3,2,119,1,2,781,2,1
482,35,10,3,3,36,0,1,1656,5,1
483,35,4,3,1,113,1,2,923,2,1
484,32,5,2,2,118,1,2,1275,1,1
485,39,7,3,2,251,1,2,342,2,1
486,31,5,1,2,-277,1,2,1008,2,1
487,26,6,2,2,-189,0,1,538,2,1
488,42,10,3,3,4,1,2,795,1,1
489,27,6,2,2,1820,1,2,1027,1,1
490,33,9,1,2,1904,1,2,1584,2,1
491,51,5,3,1,201,1,2,582,2,1
492,33,8,3,2,0,1,2,1448,7,1
493,30,7,2,3,178,0,2,656,3,1
494,52,4,3,1,3798,1,2,1208,1,1
495,42,5,1,1,301,1,2,1175,2,1
496,31,10,1,3,294,1,2,536,5,1
497,27,6,3,2,0,1,2,991,5,1
498,44,5,2,2,292,0,1,1153,4,1
499,40,11,1,2,2998,1,2,623,3,1
500,46,4,1,1,2084,1,2,1081,2,1
501,32,6,1,2,454,1,2,978,1,1
502,56,7,1,2,179,0,2,536,1,1
503,33,5,3,2,661,1,2,968,1,1
504,33,5,3,2,89,1,2,278,2,1
505,32,9,3,1,102,1,2,560,1,1
506,41,5,1,1,138,1,2,640,3,1
507,31,8,2,2,622,0,2,420,1,1
508,30,8,1,2,10,1,2,658,2,1
509,34,8,1,2,-251,0,2,641,1,1
510,43,11,3,2,104,1,2,635,3,1
511,28,5,3,2,173,0,2,588,7,1
512,32,8,1,2,-46,0,1,1373,4,1
513,31,5,1,2,0,1,1,913,4,1
514,35,11,2,3,145,1,2,799,2,1
515,31,10,3,3,325,1,2,1139,2,1
516,25,6,2,2,2311,0,1,1105,2,1
517,56,3,1,3,158,0,1,854,1,1
518,47,7,3,2,1981,1,2,919,2,1
519,39,10,3,3,1423,1,2,733,3,1
520,51,10,3,3,2455,1,2,553,1,1
521,54,7,1,2,859,0,1,710,1,1
522,58,3,3,2,9004,0,2,891,4,1
523,42,2,3,2,970,1,2,691,10,1
524,56,6,3,1,486,0,1,1877,1,1
525,55,4,3,2,127,1,2,1130,8,1
526,26,5,2,1,409,1,2,577,2,1
527,40,8,2,2,664,0,2,1342,2,1
528,26,7,2,2,223,0,1,1002,3,1
529,35,10,2,3,-324,0,1,985,11,1
530,34,6,2,2,-30,0,2,1360,3,1
531,41,10,2,3,1253,0,2,1134,5,1
532,44,10,3,1,4758,1,2,712,6,1
533,33,10,2,3,30,1,2,1077,1,1
534,36,10,1,3,81,0,1,560,1,1
535,38,7,3,2,0,1,2,1545,1,1
536,35,7,3,3,328,1,2,654,2,1
537,41,7,2,3,145,0,2,1833,2,1
538,41,10,1,2,465,1,2,1508,1,1
539,28,5,3,2,751,1,2,598,5,1
540,26,6,3,2,-379,1,1,1237,7,1
541,39,5,2,2,0,0,2,864,4,1
542,25,8,3,2,349,1,2,1037,8,1
543,37,8,3,2,1110,1,2,802,11,1
544,25,10,3,2,2228,1,2,754,1,1
545,46,10,1,3,2166,1,2,870,1,1
546,25,5,2,2,-247,1,2,633,1,1
547,28,7,2,3,-123,0,1,690,1,1
548,33,6,1,2,44,0,1,529,1,1
549,32,10,2,2,131,1,1,1152,2,1
550,32,5,3,2,476,1,2,956,9,1
551,47,7,2,2,1101,1,2,957,3,1
552,50,11,3,3,-168,1,2,1327,2,1
553,27,7,3,2,-392,1,2,228,2,1
554,45,8,3,2,524,1,2,808,1,1
555,51,8,2,2,895,0,2,638,2,1
556,36,8,3,2,212,1,1,1201,6,1
557,51,9,3,2,95,1,2,1309,4,1
558,33,6,2,3,395,1,2,1359,6,1
559,59,7,3,2,135,1,1,416,4,1
560,38,11,3,3,0,0,2,532,2,1
561,40,6,3,2,471,1,2,430,4,1
562,51,5,3,1,603,1,2,853,2,1
563,41,11,2,2,663,0,2,1204,1,1
564,38,11,3,2,593,1,1,1484,24,1
565,31,10,3,3,1224,1,1,1441,2,1
566,28,8,2,2,2,1,2,454,1,1
567,41,5,3,2,720,0,1,651,1,1
568,33,10,1,3,990,1,2,1491,2,1
569,25,1,2,2,1747,1,2,903,1,1
570,45,8,1,2,59,1,2,873,8,1
571,31,5,3,1,33,1,2,901,2,1
572,28,6,2,2,340,1,2,821,2,1
573,49,7,1,2,305,0,2,367,2,1
574,25,6,3,2,0,1,2,458,9,1
575,28,2,2,3,497,1,2,1602,6,1
576,54,3,3,2,1371,0,2,1492,2,1
577,28,7,2,3,1628,1,2,1422,2,1
578,27,7,2,3,372,1,1,728,2,1
579,49,5,2,1,566,1,2,979,2,1
580,53,5,3,1,343,1,2,616,5,1
581,26,7,2,2,941,0,1,784,1,1
582,37,6,3,2,775,0,1,1000,1,1
583,34,5,2,2,1759,0,1,695,1,1
584,51,3,3,1,1495,0,2,1946,4,1
585,39,4,3,2,1444,0,2,362,8,1
586,35,7,2,3,470,1,2,743,13,1
587,51,2,3,1,1162,1,2,2015,1,1
588,30,10,2,3,2,1,1,1031,8,1
589,42,5,2,1,1628,1,2,590,8,1
590,54,10,3,2,1134,1,2,1330,3,1
591,51,5,3,1,0,1,1,946,3,1
592,57,3,1,1,63,0,1,1448,17,1
593,30,10,3,3,1221,1,2,279,4,1
594,37,5,2,2,5024,0,1,661,4,1
595,39,7,3,2,10685,1,2,1369,9,1
596,35,7,3,3,1629,0,2,653,4,1
597,48,10,3,2,268,1,2,458,7,1
598,31,10,3,3,0,1,1,664,8,1
599,35,9,3,2,5613,1,2,699,3,1
600,48,4,3,2,513,0,1,939,3,1
601,53,4,3,1,362,0,2,1169,2,1
602,27,7,2,2,3933,0,2,837,3,1
603,55,7,3,2,3899,1,2,596,4,1
604,40,6,3,2,473,1,2,383,3,1
605,40,9,2,3,1616,0,2,1009,7,1
606,38,5,1,2,1817,1,2,1096,4,1
607,54,3,2,2,129,0,1,867,2,1
608,54,7,3,2,1938,0,1,551,3,1
609,50,8,2,2,133,0,2,890,4,1
610,48,10,1,3,2263,0,2,874,2,1
611,41,6,3,2,1538,0,2,710,2,1
612,51,5,1,1,5,0,2,600,2,1
